Variable,Index,Value
reaction,TKT2_reverse,490.68815964923175
reaction,ALCD2x,491.0758296908852
reaction,O2t_reverse,489.4953688243651
reaction,EX_akg_e,1.5264741496478974e-07
reaction,EX_o2_e_reverse,445.32636951630644
reaction,EX_etoh_e_reverse,0.0
reaction,GAPD,491.5822294283993
reaction,PYRt2,491.0755007518093
reaction,EX_mal__L_e,0.0
reaction,BIOMASS_Ecoli_core_w_GAM,0.01849337284014373
reaction,EX_h_e_reverse,443.4621847185844
reaction,ACALDt_reverse,491.07614504187677
reaction,EX_etoh_e,5.550281785337651e-07
reaction,EX_lac__D_e,1.1369233153499773e-06
reaction,EX_acald_e_reverse,0.0
reaction,H2Ot_reverse,492.7542372352957
reaction,ALCD2x_reverse,491.0758302559131
reaction,EX_nh4_e_reverse,444.00953880676
reaction,PIt2r,491.0349732979983
reaction,GLNabc,0.0
reaction,NADH16,6.346962897009202
reaction,EX_akg_e_reverse,0.0
reaction,MALt2_2,0.0
reaction,PGK,490.567323986747
reaction,EX_fru_e,0.0
reaction,PGI_reverse,491.8038648156475
reaction,ME1,4.846831082586102e-07
reaction,ME2,4.5051977761414905e-07
reaction,PPC,0.052996003630292186
reaction,FBA,491.13479555605613
reaction,ACALD_reverse,491.07389713571615
reaction,GLCpts,0.9246413240467942
reaction,EX_co2_e_reverse,442.62409623167116
reaction,EX_h_e,444.6161552602129
reaction,ACALD,491.0738961601468
reaction,FBA_reverse,491.0137658529774
reaction,GAPD_reverse,490.5673239863301
reaction,EX_succ_e,2.715146251618065e-07
reaction,PGM_reverse,491.56823445373453
reaction,D_LACt2_reverse,491.07440269273684
reaction,EX_fum_e_reverse,0.0
reaction,THD2,7.877441957453652e-07
reaction,GLUSy,3.2379017076543434e-07
reaction,PPCK,3.4929287292656004e-07
reaction,FBP,1.3470277367799348e-07
reaction,GLNS,0.004729239824352515
reaction,EX_succ_e_reverse,0.0
reaction,MDH,491.0796567471079
reaction,SUCCt3,1.2235368709648336e-06
reaction,ATPS4r,495.0473872577366
reaction,TKT1,491.46658747249387
reaction,TPI,491.134795556018
reaction,EX_pyr_e,1.0798908755787984e-06
reaction,EX_glc__D_e_reverse,7.814465370731158
reaction,PFL,0.0
reaction,CO2t_reverse,492.6822987647764
reaction,FUM,491.0768661428738
reaction,PGM,490.5809950974342
reaction,SUCCt2_2,9.420225469468275e-07
reaction,EX_h2o_e,445.88764598141205
reaction,ACALDt,491.0761446313353
reaction,MDH_reverse,491.07965677391115
reaction,FRUpts2,0.0
reaction,GND,2.3556487590131416
reaction,CYTBD,6.3469632969636836
reaction,TKT1_reverse,490.6846796838906
reaction,GLUDy,491.02657992634647
reaction,MALS,5.284441974103133e-07
reaction,RPE,491.8503822448769
reaction,FORt,0.0
reaction,TPI_reverse,491.01376585293923
reaction,ACKr_reverse,491.4775203764193
reaction,PFK,0.1210298377815809
reaction,ACt2r_reverse,491.47752037677816
reaction,EX_nh4_e,443.9086979591302
reaction,PIt2r_reverse,490.9669417273312
reaction,EX_ac_e,0.782989968905024
reaction,GLUN,1.5059944235492756e-07
reaction,ACONTa_reverse,491.0656233420524
reaction,GLUDy_reverse,491.1226916847513
reaction,EX_ac_e_reverse,0.0
reaction,SUCDi,6.373766487087067e-07
reaction,ACONTa,491.08557686033305
reaction,EX_mal__L_e_reverse,0.0
reaction,ICL,5.284441971560242e-07
reaction,ACKr,490.69453039751454
reaction,AKGt2r,491.07674228062444
reaction,LDH_D_reverse,491.0744026950268
reaction,EX_gln__L_e_reverse,0.0
reaction,RPI_reverse,491.4744508794945
reaction,EX_lac__D_e_reverse,0.0
reaction,NADTRHD,4.394209851907559
reaction,ACt2r,490.6945303978734
reaction,PGK_reverse,491.58222942881616
reaction,EX_pi_e,443.9268749488923
reaction,D_LACt2,491.0744015458138
reaction,AKGDH,1.5302460934424048e-07
reaction,PPS,2.9980479600318855e-07
reaction,EX_fru_e_reverse,0.0
reaction,TALA,491.46658747505995
reaction,PTAr,491.47752037661525
reaction,G6PDH2r,492.24460623913967
reaction,RPI,490.6759415900926
reaction,SUCOAS,491.0768401419596
reaction,LDH_D,491.07440154810376
reaction,PTAr_reverse,490.6945303977105
reaction,FRD7,2.3742216666494309e-07
reaction,EX_co2_e,445.81895788833936
reaction,ATPS4r_reverse,487.22343684593955
reaction,EX_glc__D_e,6.889824046684363
reaction,TALA_reverse,490.68467968645666
reaction,RPE_reverse,490.29324277526564
reaction,EX_gln__L_e,0.0
reaction,EX_acald_e,4.0054175145073086e-07
reaction,AKGt2r_reverse,491.07674244327154
reaction,EX_for_e,0.0
reaction,CO2t,489.4874371081082
reaction,ENO_reverse,490.5809950977846
reaction,EX_pi_e_reverse,443.9949065195594
reaction,EX_pyr_e_reverse,0.0
reaction,ACONTb,491.0855768615821
reaction,ENO,491.5682344540849
reaction,ETOHt2r,491.0758384130441
reaction,TKT2,491.4633913302397
reaction,CS,0.019953518280653396
reaction,ACONTb_reverse,491.06562334330147
reaction,FUM_reverse,491.0768657529189
reaction,EX_for_e_reverse,0.0
reaction,ICDHyr,491.0867439149489
reaction,EX_o2_e,442.1528878678245
reaction,H2Ot,489.4246609334263
reaction,SUCOAS_reverse,491.0768402949842
reaction,PYK,2.7778790416418276e-06
reaction,ETOHt2r_reverse,491.075838978072
reaction,ADK1_reverse,491.075376727956
reaction,PGI,490.369066239249
reaction,EX_h2o_e_reverse,442.5580696795426
reaction,EX_fum_e,0.0
reaction,GLUt2r_reverse,491.07666437823144
reaction,PYRt2_reverse,491.07550184169986
reaction,NH4t,491.1273391564148
reaction,ATPM,8.390000117596744
reaction,ADK1,491.0753770277608
reaction,EX_glu__L_e,1.5420836687357666e-07
reaction,FUMt2_2,0.0
reaction,G6PDH2r_reverse,489.8889574801265
reaction,EX_glu__L_e_reverse,0.0
reaction,GLUt2r,491.07666421402337
reaction,O2t,492.6688504728469
reaction,PDH,0.8722544739284742
reaction,ICDHyr_reverse,491.0667909251124
reaction,PGL,2.3556487590131416
reaction,FORt2,0.0
reaction,NH4t_reverse,491.02649830878505
enzyme,b2286,0.00013016651546323866
enzyme,b0755,0.0
enzyme,b3386,0.0
enzyme,b4014,0.0
enzyme,b0356,0.0
enzyme,b3212,0.0
enzyme,b2277,0.00010758909804286861
enzyme,b3733,0.0
enzyme,b0734,3.3963913430741296e-05
enzyme,b0902,0.0
enzyme,b3951,0.0
enzyme,b1524,0.0
enzyme,b0903,0.0
enzyme,b2465,0.0
enzyme,b1603,0.0
enzyme,b2285,0.00014627720001543203
enzyme,b0115,2.007274089331469e-05
enzyme,b2925,0.0
enzyme,b1812,0.0
enzyme,b1723,2.248069070535535e-05
enzyme,b1602,0.0
enzyme,b2492,0.0
enzyme,b1818,0.0
enzyme,b3916,5.27674622013866e-05
enzyme,b2416,0.0
enzyme,b0118,0.0
enzyme,b2284,8.395959462281324e-05
enzyme,b2282,0.00032994911391283463
enzyme,b3528,0.0
enzyme,b0810,0.0
enzyme,b3403,0.0
enzyme,b1817,0.0
enzyme,b4153,0.0
enzyme,b1676,0.0
enzyme,b3870,8.215048038154477e-08
enzyme,b0733,4.75634532125758e-05
enzyme,b0811,0.0
enzyme,b4151,0.0
enzyme,b1136,0.0
enzyme,b3736,0.0
enzyme,b3952,0.0
enzyme,b0726,0.0
enzyme,b0474,0.0
enzyme,b2587,0.0
enzyme,b3962,5.565237901072422e-06
enzyme,b1779,0.0
enzyme,b2779,0.0
enzyme,b0724,0.0
enzyme,b2278,5.26211537228236e-05
enzyme,b4301,0.0
enzyme,b0116,0.0
enzyme,b3919,0.0
enzyme,b1612,0.0
enzyme,b2276,0.00015799652434315804
enzyme,b4152,0.0
enzyme,b4025,0.0
enzyme,b0727,0.0
enzyme,b1849,0.0
enzyme,b2464,0.0
enzyme,b1276,0.0
enzyme,b3956,6.994115871572353e-09
enzyme,b2415,0.0
enzyme,b4077,0.0
enzyme,b2914,0.0
enzyme,b2297,0.0
enzyme,b1854,0.0
enzyme,b3115,0.0
enzyme,b1297,9.979832395117831e-08
enzyme,b1380,0.0
enzyme,b2458,0.0
enzyme,b2279,9.931110442525631e-05
enzyme,b3213,0.0
enzyme,b2029,1.4412766661122557e-05
enzyme,b0008,0.0
enzyme,b0728,0.0
enzyme,b3114,0.0
enzyme,b3493,0.0
enzyme,s0001,0.0
enzyme,b2975,0.0
enzyme,b3735,0.0
enzyme,b0978,0.00011773149233375216
enzyme,b1773,0.0
enzyme,b3603,0.0
enzyme,b3737,0.0
enzyme,b2417,0.00010897167663033241
enzyme,b0723,0.0
enzyme,b1241,0.0
enzyme,b2987,0.0
enzyme,b0114,5.447386508348033e-05
enzyme,b0979,0.00034986120713024696
enzyme,b1852,0.0
enzyme,b4232,0.0
enzyme,b1479,0.0
enzyme,b2579,0.0
enzyme,b4154,0.0
enzyme,b1101,0.00010658705689877194
enzyme,b2283,0.00015156811427228416
enzyme,b0721,0.0
enzyme,b1621,4.0989288614138004e-05
enzyme,b0485,0.0
enzyme,b1478,0.0
enzyme,b1761,0.0
enzyme,b3739,0.0
enzyme,b0722,0.0
enzyme,b0904,0.0
enzyme,b4395,0.0
enzyme,b3731,0.0
enzyme,b2288,6.597974287746057e-05
enzyme,b4122,0.0
enzyme,b3925,0.0
enzyme,b2133,0.0
enzyme,b1611,0.0
enzyme,b2281,0.00024617137759157086
enzyme,b4015,0.0
enzyme,b2463,0.0
enzyme,b0451,0.0
enzyme,b2097,0.0
enzyme,b3612,0.0
enzyme,b2926,0.0
enzyme,b0875,0.0
enzyme,b1702,0.0
enzyme,b0351,0.0
enzyme,b3732,0.0
enzyme,b1819,0.0
enzyme,b2287,0.00014989405467760695
enzyme,b2280,0.0002208074485263251
enzyme,b0767,8.372782576087341e-05
enzyme,b3734,0.0
enzyme,b2296,0.0
enzyme,b0720,1.4189173245316487e-07
enzyme,b0809,0.0
enzyme,b4090,0.0
enzyme,b3738,0.0
enzyme,b0729,0.0
enzyme,b3236,0.0
enzyme,b2935,0.0
enzyme,b2976,0.0
enzyme_min,"('FUM', 'b4122')",0.0
enzyme_min,"('PGM', 'b4395')",0.0
enzyme_min,"('SUCDi', 'b0722')",0.0
enzyme_min,"('CO2t_reverse', 's0001')",0.0
enzyme_min,"('PYK', 'b1854')",0.0
enzyme_min,"('PGK_reverse', 'b2926')",0.0
enzyme_min,"('FUM', 'b1611')",0.0
enzyme_min,"('GLCpts', 'b1817')",0.0
enzyme_min,"('NADH16', 'b2283')",0.0
enzyme_min,"('PFL', 'b3951')",0.0
enzyme_min,"('ACKr_reverse', 'b3115')",0.0
enzyme_min,"('CS', 'b0720')",0.0
