Variable,Index,Value
flux,rxn00001_c0,0.0
flux,rxn00003_c0,0.0
flux,rxn00006_c0,0.0
flux,rxn00007_c0,0.0
flux,rxn00010_c0,0.0
flux,rxn00011_c0,0.0
flux,rxn00012_c0,1000.0
flux,rxn00016_c0,0.0
flux,rxn00020_c0,0.0
flux,rxn00022_c0,0.0
flux,rxn00029_c0,0.016741292623103254
flux,rxn00032_c0,0.0
flux,rxn00048_c0,0.0
flux,rxn00056_c0,0.0
flux,rxn00058_c0,0.0
flux,rxn00060_c0,0.004185323155775814
flux,rxn00062_c0,0.0
flux,rxn00068_c0,0.0
flux,rxn00069_c0,1000.0
flux,rxn00070_c0,-1000.0
flux,rxn00076_c0,0.0
flux,rxn00077_c0,0.0
flux,rxn00078_c0,0.0
flux,rxn00083_c0,-1000.0
flux,rxn00085_c0,-999.0769938535884
flux,rxn00086_c0,999.7285003931988
flux,rxn00088_c0,0.0
flux,rxn00089_c0,0.0
flux,rxn00097_c0,1.5368340608763447
flux,rxn00100_c0,0.004185323155780435
flux,rxn00103_c0,0.0
flux,rxn00104_c0,-0.0020926615778762425
flux,rxn00105_c0,0.0
flux,rxn00106_c0,0.0
flux,rxn00107_c0,0.0
flux,rxn00108_c0,0.0
flux,rxn00114_c0,-999.6383054830677
flux,rxn00116_c0,0.0
flux,rxn00117_c0,0.24620574122582184
flux,rxn00119_c0,0.21031399220476032
flux,rxn00120_c0,0.0
flux,rxn00121_c0,0.0
flux,rxn00122_c0,0.0020926615778762425
flux,rxn00123_c0,0.0
flux,rxn00124_c0,0.0
flux,rxn00126_c0,0.014648631045215348
flux,rxn00127_c0,0.002092661577887907
flux,rxn00128_c0,0.0
flux,rxn00130_c0,0.0
flux,rxn00131_c0,0.0
flux,rxn00132_c0,0.0
flux,rxn00134_c0,0.01255596946732744
flux,rxn00137_c0,0.002092661577887907
flux,rxn00138_c0,0.00418532315577555
flux,rxn00139_c0,0.0
flux,rxn00143_c0,0.0062779847336287276
flux,rxn00145_c0,0.0
flux,rxn00146_c0,0.0
flux,rxn00147_c0,0.0
flux,rxn00148_c0,0.0
flux,rxn00149_c0,0.0
flux,rxn00151_c0,0.0
flux,rxn00154_c0,0.0
flux,rxn00155_c0,0.0
flux,rxn00157_c0,0.0
flux,rxn00159_c0,0.0
flux,rxn00160_c0,0.0
flux,rxn00161_c0,8.46664150798253
flux,rxn00162_c0,0.0
flux,rxn00165_c0,0.0
flux,rxn00166_c0,0.0
flux,rxn00171_c0,0.004185323155752485
flux,rxn00172_c0,-9.836450287462526
flux,rxn00173_c0,-1000.0
flux,rxn00174_c0,0.0
flux,rxn00175_c0,0.0
flux,rxn00176_c0,0.0
flux,rxn00178_c0,2.2255481943822133
flux,rxn00179_c0,0.2972184861786218
flux,rxn00182_c0,-1000.0
flux,rxn00183_c0,0.0
flux,rxn00184_c0,-3.2696137391939146
flux,rxn00186_c0,0.0
flux,rxn00187_c0,0.0
flux,rxn00189_c0,0.0
flux,rxn00190_c0,0.0
flux,rxn00191_c0,998.578395924369
flux,rxn00192_c0,0.0
flux,rxn00193_c0,0.008522893246663443
flux,rxn00194_c0,0.0
flux,rxn00196_c0,0.0
flux,rxn00198_c0,0.0
flux,rxn00199_c0,0.0
flux,rxn00200_c0,0.0
flux,rxn00203_c0,0.0
flux,rxn00204_c0,0.0
flux,rxn00205_c0,0.0
flux,rxn00206_c0,0.0
flux,rxn00208_c0,0.0
flux,rxn00209_c0,0.0
flux,rxn00211_c0,0.0
flux,rxn00212_c0,0.0
flux,rxn00213_c0,-999.9659084270132
flux,rxn00214_c0,-5.0
flux,rxn00216_c0,0.0
flux,rxn00221_c0,0.0
flux,rxn00222_c0,0.0
flux,rxn00223_c0,1000.0
flux,rxn00224_c0,0.0020926615778762425
flux,rxn00225_c0,1000.0
flux,rxn00226_c0,0.0
flux,rxn00236_c0,0.0
flux,rxn00237_c0,-999.691742136817
flux,rxn00238_c0,0.0
flux,rxn00239_c0,0.1434459488907578
flux,rxn00241_c0,0.0
flux,rxn00242_c0,0.0
flux,rxn00247_c0,-12.505032655515151
flux,rxn00248_c0,1000.0
flux,rxn00251_c0,0.0
flux,rxn00254_c0,0.0
flux,rxn00256_c0,0.0
flux,rxn00259_c0,0.0
flux,rxn00260_c0,-1000.0
flux,rxn00262_c0,0.0
flux,rxn00264_c0,0.0
flux,rxn00272_c0,0.8567492144441076
flux,rxn00273_c0,0.0
flux,rxn00274_c0,0.0
flux,rxn00283_c0,0.017045786493326887
flux,rxn00285_c0,2.0166048055657484
flux,rxn00289_c0,-1000.0
flux,rxn00291_c0,0.0
flux,rxn00292_c0,0.0
flux,rxn00293_c0,0.03409157298676746
flux,rxn00295_c0,0.0
flux,rxn00297_c0,0.0
flux,rxn00299_c0,0.0
flux,rxn00300_c0,0.0
flux,rxn00301_c0,0.0
flux,rxn00302_c0,0.0
flux,rxn00303_c0,0.0
flux,rxn00304_c0,0.0
flux,rxn00306_c0,0.0
flux,rxn00313_c0,0.19619920803556978
flux,rxn00322_c0,0.0
flux,rxn00324_c0,-0.4701244327623044
flux,rxn00326_c0,0.0
flux,rxn00328_c0,0.0
flux,rxn00330_c0,0.0
flux,rxn00333_c0,0.0
flux,rxn00336_c0,-1000.0
flux,rxn00337_c0,0.6545051911607516
flux,rxn00338_c0,0.0
flux,rxn00340_c0,0.14133318601271597
flux,rxn00342_c0,0.0
flux,rxn00346_c0,0.7538374574533449
flux,rxn00347_c0,997.4961970116663
flux,rxn00350_c0,0.0
flux,rxn00351_c0,0.0020926615778879007
flux,rxn00355_c0,1000.0
flux,rxn00359_c0,0.0
flux,rxn00360_c0,0.0
flux,rxn00361_c0,0.0
flux,rxn00362_c0,1000.0
flux,rxn00363_c0,0.0
flux,rxn00364_c0,0.22991872117835044
flux,rxn00365_c0,0.0
flux,rxn00366_c0,0.0
flux,rxn00368_c0,0.0
flux,rxn00369_c0,0.0
flux,rxn00372_c0,0.0
flux,rxn00377_c0,0.0
flux,rxn00379_c0,-999.8557348041587
flux,rxn00391_c0,0.0
flux,rxn00392_c0,0.002092661577887907
flux,rxn00394_c0,0.0
flux,rxn00395_c0,0.0
flux,rxn00405_c0,0.0
flux,rxn00407_c0,0.0
flux,rxn00408_c0,0.0
flux,rxn00409_c0,0.21417731850920063
flux,rxn00410_c0,0.09376120679566526
flux,rxn00411_c0,0.0
flux,rxn00412_c0,0.0
flux,rxn00414_c0,0.0
flux,rxn00416_c0,0.0
flux,rxn00420_c0,0.0
flux,rxn00423_c0,0.05497225190880957
flux,rxn00426_c0,0.0
flux,rxn00427_c0,0.0
flux,rxn00429_c0,0.0
flux,rxn00436_c0,0.0
flux,rxn00438_c0,0.0020926615778879007
flux,rxn00441_c0,0.0
flux,rxn00442_c0,0.0
flux,rxn00444_c0,0.0
flux,rxn00451_c0,0.0
flux,rxn00456_c0,0.0
flux,rxn00459_c0,17.973095574818558
flux,rxn00460_c0,0.0
flux,rxn00461_c0,0.0085228932466842
flux,rxn00463_c0,0.0
flux,rxn00467_c0,-0.17261163437660798
