Variable,Index,Value
reaction,TKT2_reverse,490.68815874976997
reaction,ALCD2x,491.07582878647
reaction,O2t_reverse,489.4953679254299
reaction,EX_akg_e,1.5264741496478932e-07
reaction,EX_o2_e_reverse,445.32636871202754
reaction,EX_etoh_e_reverse,0.0
reaction,GAPD,491.58222853012046
reaction,PYRt2,491.07549985167236
reaction,EX_mal__L_e,0.0
reaction,BIOMASS_Ecoli_core_w_GAM,0.018493372840139834
reaction,EX_h_e_reverse,443.46218412447945
reaction,ACALDt_reverse,491.076144168221
reaction,EX_etoh_e,5.55028178533763e-07
reaction,EX_lac__D_e,1.1369233153499644e-06
reaction,EX_acald_e_reverse,0.0
reaction,H2Ot_reverse,492.7542517794431
reaction,ALCD2x_reverse,491.07582935149793
reaction,EX_nh4_e_reverse,444.0095380000386
reaction,PIt2r,491.0349652478006
reaction,GLNabc,0.0
reaction,NADH16,6.346962897009142
reaction,EX_akg_e_reverse,0.0
reaction,MALt2_2,0.0
reaction,PGK,490.56732308706506
reaction,EX_fru_e,0.0
reaction,PGI_reverse,491.8038639171233
reaction,ME1,4.846831082591136e-07
reaction,ME2,4.5051977761165686e-07
reaction,PPC,0.05299600363028336
reaction,FBA,491.13479465634543
reaction,ACALD_reverse,491.07389623596725
reaction,GLCpts,0.924641324046839
reaction,EX_co2_e_reverse,442.6240954246767
reaction,EX_h_e,444.6161546661079
reaction,ACALD,491.0738952603979
reaction,FBA_reverse,491.0137649532666
reaction,GAPD_reverse,490.5673230880513
reaction,EX_succ_e,2.715146251620767e-07
reaction,PGM_reverse,491.5682335540594
reaction,D_LACt2_reverse,491.07440179350965
reaction,EX_fum_e_reverse,0.0
reaction,THD2,7.877441957453659e-07
reaction,GLUSy,3.2379017076541645e-07
reaction,PPCK,3.492928729303904e-07
reaction,FBP,1.3470277367801907e-07
reaction,GLNS,0.004729239824351521
reaction,EX_succ_e_reverse,0.0
reaction,MDH,491.07965584919765
reaction,SUCCt3,1.2235368709650045e-06
reaction,ATPS4r,495.0473611287017
reaction,TKT1,491.46658657292585
reaction,TPI,491.13479465630763
reaction,EX_pyr_e,1.079890875578794e-06
reaction,EX_glc__D_e_reverse,7.814466327878638
reaction,PFL,0.0
reaction,CO2t_reverse,492.6822977382154
reaction,FUM,491.07686524343075
reaction,PGM,490.58099419775914
reaction,SUCCt2_2,9.420225469467283e-07
reaction,EX_h2o_e,445.8876451735697
reaction,ACALDt,491.0761437576795
reaction,MDH_reverse,491.07965587600086
reaction,FRUpts2,0.0
reaction,GND,2.3556487590131137
reaction,CYTBD,6.346963296963624
reaction,TKT1_reverse,490.68467878432256
reaction,GLUDy,491.0265789837979
reaction,MALS,5.284441974050625e-07
reaction,RPE,491.8503813448966
reaction,FORt,0.0
reaction,TPI_reverse,491.0137649532288
reaction,ACKr_reverse,491.4775194779219
reaction,PFK,0.12102983778160303
reaction,ACt2r_reverse,491.47751947827214
reaction,EX_nh4_e,443.9086971524088
reaction,PIt2r_reverse,490.9669336771333
reaction,EX_ac_e,0.782989968905031
reaction,GLUN,1.5059944235533172e-07
reaction,ACONTa_reverse,491.0656224424803
reaction,GLUDy_reverse,491.1226907422028
reaction,EX_ac_e_reverse,0.0
reaction,SUCDi,6.373766487132043e-07
reaction,ACONTa,491.085575960761
reaction,EX_mal__L_e_reverse,0.0
reaction,ICL,5.284441971507736e-07
reaction,ACKr,490.6945294990171
reaction,AKGt2r,491.076741338485
reaction,LDH_D_reverse,491.0744017933881
reaction,EX_gln__L_e_reverse,0.0
reaction,RPI_reverse,491.4744499798528
reaction,EX_lac__D_e_reverse,0.0
reaction,NADTRHD,4.394209851907572
reaction,ACt2r,490.6945294993674
reaction,PGK_reverse,491.5822285291342
reaction,EX_pi_e,443.92687414208433
reaction,D_LACt2,491.07440064658664
reaction,AKGDH,1.5302460937098174e-07
reaction,PPS,2.998047959989469e-07
reaction,EX_fru_e_reverse,0.0
reaction,TALA,491.46658657551336
reaction,PTAr,491.4775194781219
reaction,G6PDH2r,492.24460533859724
reaction,RPI,490.67594069045094
reaction,SUCOAS,491.06808409881813
reaction,LDH_D,491.0744006464651
reaction,PTAr_reverse,490.69452949921714
reaction,FRD7,2.37422166663356e-07
reaction,EX_co2_e,445.81895708134493
reaction,ATPS4r_reverse,487.2234107169048
