Variable,Index,Value
reaction,TKT2_reverse,490.68815905615503
reaction,ALCD2x,491.0758290977027
reaction,O2t_reverse,489.4953682316698
reaction,EX_akg_e,1.5264741496478963e-07
reaction,EX_o2_e_reverse,445.3263689873018
reaction,EX_etoh_e_reverse,0.0
reaction,GAPD,491.5822288355973
reaction,PYRt2,491.0755001579917
reaction,EX_mal__L_e,0.0
reaction,BIOMASS_Ecoli_core_w_GAM,0.018493372840143484
reaction,EX_h_e_reverse,443.4621844005753
reaction,ACALDt_reverse,491.0761444486423
reaction,EX_etoh_e,5.550281785337629e-07
reaction,EX_lac__D_e,1.136923315349966e-06
reaction,EX_acald_e_reverse,0.0
reaction,H2Ot_reverse,492.75423664309335
reaction,ALCD2x_reverse,491.07582966273054
reaction,EX_nh4_e_reverse,444.009538276097
reaction,PIt2r,491.03497623910147
reaction,GLNabc,0.0
reaction,NADH16,6.3469628970091465
reaction,EX_akg_e_reverse,0.0
reaction,MALt2_2,0.0
reaction,PGK,490.56732339351464
reaction,EX_fru_e,0.0
reaction,PGI_reverse,491.80386422313546
reaction,ME1,4.846831082593398e-07
reaction,ME2,4.505197776123518e-07
reaction,PPC,0.05299600363028542
reaction,FBA,491.1347949627875
reaction,ACALD_reverse,491.0738965424208
reaction,GLCpts,0.924641324046842
reaction,EX_co2_e_reverse,442.62409570080945
reaction,EX_h_e,444.6161549422034
reaction,ACALD,491.07389556685143
reaction,FBA_reverse,491.0137652597087
reaction,GAPD_reverse,490.5673233935281
reaction,EX_succ_e,2.715146252018687e-07
reaction,PGM_reverse,491.56823386047824
reaction,D_LACt2_reverse,491.07440209984946
reaction,EX_fum_e_reverse,0.0
reaction,THD2,7.877441957453652e-07
reaction,GLUSy,3.2379017076542005e-07
reaction,PPCK,3.492928729319655e-07
reaction,FBP,1.3470277367799686e-07
reaction,GLNS,0.004729239824352451
reaction,EX_succ_e_reverse,0.0
reaction,MDH,491.07965615424934
reaction,SUCCt3,1.2235368709899424e-06
reaction,ATPS4r,495.0473209244065
reaction,TKT1,491.46658687940703
reaction,TPI,491.13479496274834
reaction,EX_pyr_e,1.0798908755787948e-06
reaction,EX_glc__D_e_reverse,7.814466014686698
reaction,PFL,0.0
reaction,CO2t_reverse,492.68229817354023
reaction,FUM,491.076865549782
reaction,PGM,490.58099450417797
reaction,SUCCt2_2,9.420225469318742e-07
reaction,EX_h2o_e,445.887645449931
reaction,ACALDt,491.07614403810084
reaction,MDH_reverse,491.0796561810526
reaction,FRUpts2,0.0
reaction,GND,2.3556487590131288
reaction,CYTBD,6.3469632969636285
reaction,TKT1_reverse,490.68467909080374
reaction,GLUDy,491.02657922377
reaction,MALS,5.284441973434799e-07
reaction,RPE,491.85038165137445
reaction,FORt,0.0
reaction,TPI_reverse,491.0137652596695
reaction,ACKr_reverse,491.4775197841202
reaction,PFK,0.12102983778159668
reaction,ACt2r_reverse,491.4775197843106
reaction,EX_nh4_e,443.9086974284672
reaction,PIt2r_reverse,490.9669446684343
reaction,EX_ac_e,0.782989968905059
reaction,GLUN,1.5059944235507348e-07
reaction,ACONTa_reverse,491.06562274887403
reaction,GLUDy_reverse,491.12269098217484
reaction,EX_ac_e_reverse,0.0
reaction,SUCDi,6.37376648611866e-07
reaction,ACONTa,491.0855762671547
reaction,EX_mal__L_e_reverse,0.0
reaction,ICL,5.28444197089191e-07
reaction,ACKr,490.69452980521544
reaction,AKGt2r,491.0767416307522
reaction,LDH_D_reverse,491.07440210017035
reaction,EX_gln__L_e_reverse,0.0
reaction,RPI_reverse,491.47445028631535
reaction,EX_lac__D_e_reverse,0.0
reaction,NADTRHD,4.394209851907549
reaction,ACt2r,490.6945298054058
reaction,PGK_reverse,491.5822288355838
reaction,EX_pi_e,443.9268744181748
reaction,D_LACt2,491.07440095292645
reaction,AKGDH,1.5302460937707444e-07
reaction,PPS,2.998047959974546e-07
reaction,EX_fru_e_reverse,0.0
reaction,TALA,491.46658688179485
reaction,PTAr,491.47751978414834
reaction,G6PDH2r,492.244605645292
reaction,RPI,490.6759409969135
reaction,SUCOAS,491.0768396678598
reaction,LDH_D,491.07440095324733
reaction,PTAr_reverse,490.6945298052436
reaction,FRD7,2.3742216664987344e-07
reaction,EX_co2_e,445.8189573574777
reaction,ATPS4r_reverse,487.2233705126095
reaction,EX_glc__D_e,6.889824690639856
reaction,TALA_reverse,490.68467909319156
reaction,RPE_reverse,490.29324218176316
reaction,EX_gln__L_e,0.0
reaction,EX_acald_e,4.0054175145073065e-07
reaction,AKGt2r_reverse,491.0767417933993
reaction,EX_for_e,0.0
reaction,CO2t,489.487436516872
reaction,ENO_reverse,490.58099450447514
reaction,EX_pi_e_reverse,443.994905988842
reaction,EX_pyr_e_reverse,0.0
reaction,ACONTb,491.08557626840434
reaction,ENO,491.5682338607754
reaction,ETOHt2r,491.0758378150661
reaction,TKT2,491.463390737163
reaction,CS,0.01995351828068771
reaction,ACONTb_reverse,491.0656227501237
reaction,FUM_reverse,491.07686515982704
reaction,EX_for_e_reverse,0.0
reaction,ICDHyr,491.08674332217004
reaction,EX_o2_e,442.1528873388201
reaction,H2Ot,489.424660341224
reaction,SUCOAS_reverse,491.0768398208844
reaction,PYK,2.7778790415904152e-06
reaction,ETOHt2r_reverse,491.075838380094
reaction,ADK1_reverse,491.07537613476234
reaction,PGI,490.36906564673694
reaction,EX_h2o_e_reverse,442.55806914806163
reaction,EX_fum_e,0.0
reaction,GLUt2r_reverse,491.0766628557825
reaction,PYRt2_reverse,491.0755012478823
reaction,NH4t,491.12733856333364
reaction,ATPM,8.390000117596744
reaction,ADK1,491.07537643456715
reaction,EX_glu__L_e,1.5420836687357642e-07
reaction,FUMt2_2,0.0
reaction,G6PDH2r_reverse,489.88895688627883
reaction,EX_glu__L_e_reverse,0.0
reaction,GLUt2r,491.0766626915744
reaction,O2t,492.6688498801515
reaction,PDH,0.8722544739285154
reaction,ICDHyr_reverse,491.06679033233354
reaction,PGL,2.3556487590131288
reaction,FORt2,0.0
reaction,NH4t_reverse,491.0264977157039
enzyme,b2286,0.0001301665154632373
enzyme,b0755,0.0
enzyme,b3386,0.0
enzyme,b4014,0.0
enzyme,b0356,0.0
enzyme,b3212,0.0
enzyme,b2277,0.00010758909804286749
enzyme,b3733,0.0
enzyme,b0734,3.3963913430740856e-05
enzyme,b0902,0.0
enzyme,b3951,0.0
enzyme,b1524,0.0
enzyme,b0903,0.0
enzyme,b2465,0.0
enzyme,b1603,0.0
enzyme,b2285,0.0001462772000154307
enzyme,b0115,2.0072740893315415e-05
enzyme,b2925,0.0
enzyme,b1812,0.0
enzyme,b1723,2.2480690705358175e-05
enzyme,b1602,0.0
enzyme,b2492,0.0
enzyme,b1818,0.0
enzyme,b3916,5.276746220139337e-05
enzyme,b2416,0.0
enzyme,b0118,0.0
enzyme,b2284,8.395959462281235e-05
enzyme,b2282,0.0003299491139128316
enzyme,b3528,0.0
enzyme,b0810,0.0
enzyme,b3403,0.0
enzyme,b1817,0.0
enzyme,b4153,0.0
enzyme,b1676,0.0
enzyme,b3870,8.215048038136998e-08
enzyme,b0733,4.7563453212575194e-05
enzyme,b0811,0.0
enzyme,b4151,0.0
enzyme,b1136,0.0
enzyme,b3736,0.0
enzyme,b3952,0.0
enzyme,b0726,0.0
enzyme,b0474,0.0
enzyme,b2587,0.0
enzyme,b3962,5.565237901072238e-06
enzyme,b1779,0.0
enzyme,b2779,0.0
enzyme,b0724,0.0
enzyme,b2278,5.262115372282292e-05
enzyme,b4301,0.0
enzyme,b0116,0.0
enzyme,b3919,0.0
enzyme,b1612,0.0
enzyme,b2276,0.00015799652434315647
enzyme,b4152,0.0
enzyme,b4025,0.0
enzyme,b0727,0.0
enzyme,b1849,0.0
enzyme,b2464,0.0
enzyme,b1276,0.0
enzyme,b3956,6.994115871239333e-09
enzyme,b2415,0.0
enzyme,b4077,0.0
enzyme,b2914,0.0
enzyme,b2297,0.0
enzyme,b1854,0.0
enzyme,b3115,0.0
enzyme,b1297,9.979832395099904e-08
enzyme,b1380,0.0
enzyme,b2458,0.0
enzyme,b2279,9.931110442525541e-05
enzyme,b3213,0.0
enzyme,b2029,1.4412766661122306e-05
enzyme,b0008,0.0
enzyme,b0728,0.0
enzyme,b3114,0.0
enzyme,b3493,0.0
enzyme,s0001,0.0
enzyme,b2975,0.0
enzyme,b3735,0.0
enzyme,b0978,0.00011773149233375093
enzyme,b1773,0.0
enzyme,b3603,0.0
enzyme,b3737,0.0
enzyme,b2417,0.00010897167663033797
enzyme,b0723,0.0
enzyme,b1241,0.0
enzyme,b2987,0.0
enzyme,b0114,5.4473865083482576e-05
enzyme,b0979,0.0003498612071302438
enzyme,b1852,0.0
enzyme,b4232,0.0
enzyme,b1479,0.0
enzyme,b2579,0.0
enzyme,b4154,0.0
enzyme,b1101,0.00010658705689877726
enzyme,b2283,0.00015156811427228254
enzyme,b0721,0.0
enzyme,b1621,4.0989288614139935e-05
enzyme,b0485,0.0
enzyme,b1478,0.0
enzyme,b1761,0.0
enzyme,b3739,0.0
enzyme,b0722,0.0
enzyme,b0904,0.0
enzyme,b4395,0.0
enzyme,b3731,0.0
enzyme,b2288,6.597974287745993e-05
enzyme,b4122,0.0
enzyme,b3925,0.0
enzyme,b2133,0.0
enzyme,b1611,0.0
enzyme,b2281,0.00024617137759156874
enzyme,b4015,0.0
enzyme,b2463,0.0
enzyme,b0451,0.0
enzyme,b2097,0.0
enzyme,b3612,0.0
enzyme,b2926,0.0
enzyme,b0875,0.0
enzyme,b1702,0.0
enzyme,b0351,0.0
enzyme,b3732,0.0
enzyme,b1819,0.0
enzyme,b2287,0.00014989405467760557
enzyme,b2280,0.00022080744852632313
enzyme,b0767,8.372782576087284e-05
enzyme,b3734,0.0
enzyme,b2296,0.0
enzyme,b0720,1.418917324532654e-07
enzyme,b0809,0.0
enzyme,b4090,0.0
enzyme,b3738,0.0
enzyme,b0729,0.0
enzyme,b3236,0.0
enzyme,b2935,0.0
enzyme,b2976,0.0
enzyme_min,"('FUM', 'b4122')",0.0
enzyme_min,"('PGM', 'b4395')",0.0
enzyme_min,"('SUCDi', 'b0722')",0.0
enzyme_min,"('CO2t_reverse', 's0001')",0.0
enzyme_min,"('PYK', 'b1854')",0.0
enzyme_min,"('PGK_reverse', 'b2926')",0.0
enzyme_min,"('FUM', 'b1611')",0.0
enzyme_min,"('GLCpts', 'b1817')",0.0
enzyme_min,"('NADH16', 'b2283')",0.0
enzyme_min,"('PFL', 'b3951')",0.0
enzyme_min,"('ACKr_reverse', 'b3115')",0.0
enzyme_min,"('CS', 'b0720')",0.0
enzyme_min,"('ACONTa', 'b0118')",0.0
enzyme_min,"('ACALD', 'b1241')",0.0
enzyme_min,"('FORt', 'b0904')",0.0
enzyme_min,"('ENO_reverse', 'b2779')",0.0
enzyme_min,"('NADH16', 'b2281')",0.0
enzyme_min,"('O2t', 's0001')",0.0
enzyme_min,"('NADH16', 'b2286')",0.0
enzyme_min,"('PGI_reverse', 'b4025')",0.0
enzyme_min,"('MDH_reverse', 'b3236')",0.0
enzyme_min,"('PFK', 'b1723')",0.0
enzyme_min,"('GLCpts', 'b1101')",0.0
enzyme_min,"('RPI', 'b2914')",0.0
enzyme_min,"('TKT2', 'b2465')",0.0
enzyme_min,"('ACONTa_reverse', 'b0118')",0.0
enzyme_min,"('GLCpts', 'b2416')",0.0
enzyme_min,"('ACKr', 'b2296')",0.0
enzyme_min,"('GAPD', 'b1779')",0.0
enzyme_min,"('GLUSy', 'b3212')",0.0
enzyme_min,"('PPC', 'b3956')",0.0
enzyme_min,"('MALS', 'b2976')",0.0
enzyme_min,"('PIt2r_reverse', 'b3493')",0.0
enzyme_min,"('GLCpts', 'b1621')",0.0
enzyme_min,"('SUCDi', 'b0724')",0.0
enzyme_min,"('PTAr_reverse', 'b2297')",0.0
enzyme_min,"('FUMt2_2', 'b3528')",0.0
enzyme_min,"('TPI_reverse', 'b3919')",0.0
enzyme_min,"('GLCpts', 'b2417')",0.0
enzyme_min,"('ACONTb', 'b0118')",0.0
enzyme_min,"('ATPS4r_reverse', 'b3738')",0.0
enzyme_min,"('PGM', 'b0755')",0.0
enzyme_min,"('GND', 'b2029')",0.0
enzyme_min,"('PGM_reverse', 'b4395')",0.0
enzyme_min,"('NADH16', 'b2278')",0.0
enzyme_min,"('H2Ot', 's0001')",0.0
enzyme_min,"('GLCpts', 'b1819')",0.0
enzyme_min,"('TKT1_reverse', 'b2465')",0.0
enzyme_min,"('ALCD2x_reverse', 'b1241')",0.0
enzyme_min,"('ATPS4r', 'b3736')",0.0
enzyme_min,"('NADH16', 'b2276')",0.0
enzyme_min,"('NADH16', 'b2284')",0.0
enzyme_min,"('AKGDH', 'b0726')",0.0
enzyme_min,"('TALA', 'b0008')",0.0
enzyme_min,"('ACONTb_reverse', 'b1276')",0.0
enzyme_min,"('GLUDy_reverse', 'b1761')",0.0
enzyme_min,"('NADH16', 'b2287')",0.0
enzyme_min,"('FBA', 'b2925')",0.0
enzyme_min,"('PGI', 'b4025')",0.0
enzyme_min,"('AKGt2r', 'b2587')",0.0
enzyme_min,"('ALCD2x', 'b1241')",0.0
enzyme_min,"('ATPS4r', 'b3733')",0.0
enzyme_min,"('FRUpts2', 'b1817')",0.0
enzyme_min,"('GLUN', 'b1812')",0.0
enzyme_min,"('NADH16', 'b2280')",0.0
enzyme_min,"('FUM_reverse', 'b4122')",0.0
enzyme_min,"('SUCDi', 'b0721')",0.0
enzyme_min,"('FBA', 'b2097')",0.0
enzyme_min,"('ATPS4r', 'b3739')",0.0
enzyme_min,"('NADH16', 'b2277')",0.0
enzyme_min,"('FORt2', 'b2492')",0.0
enzyme_min,"('FBA_reverse', 'b1773')",0.0
enzyme_min,"('PDH', 'b0116')",0.0
enzyme_min,"('PFL', 'b3952')",0.0
enzyme_min,"('NADH16', 'b2285')",0.0
enzyme_min,"('PTAr_reverse', 'b2458')",0.0
enzyme_min,"('ADK1', 'b0474')",0.0
enzyme_min,"('PIt2r', 'b2987')",0.0
enzyme_min,"('D_LACt2_reverse', 'b2975')",0.0
enzyme_min,"('ATPS4r_reverse', 'b3735')",0.0
enzyme_min,"('ATPS4r_reverse', 'b3734')",0.0
enzyme_min,"('ATPS4r_reverse', 'b3732')",0.0
enzyme_min,"('PGM_reverse', 'b0755')",0.0
enzyme_min,"('GLUDy', 'b1761')",0.0
enzyme_min,"('ATPS4r_reverse', 'b3731')",0.0
enzyme_min,"('SUCOAS_reverse', 'b0728')",0.0
enzyme_min,"('PTAr', 'b2297')",0.0
enzyme_min,"('TKT2_reverse', 'b2465')",0.0
enzyme_min,"('AKGDH', 'b0116')",0.0
enzyme_min,"('AKGt2r_reverse', 'b2587')",0.0
enzyme_min,"('SUCOAS', 'b0729')",0.0
enzyme_min,"('CYTBD', 'b0733')",0.0
enzyme_min,"('FRD7', 'b4154')",0.0
enzyme_min,"('ACKr_reverse', 'b1849')",0.0
enzyme_min,"('FRD7', 'b4151')",0.0
enzyme_min,"('NADTRHD', 'b1603')",0.0
enzyme_min,"('ACALDt_reverse', 's0001')",0.0
enzyme_min,"('RPI_reverse', 'b4090')",0.0
enzyme_min,"('PGM_reverse', 'b3612')",0.0
enzyme_min,"('SUCOAS', 'b0728')",0.0
