Variable,Index,Value
flux,ALATA_D2,0.0
flux,SHCHD2,4.4919861999094494e-05
flux,CPPPGO,4.4919861999094494e-05
flux,GTHOr,0.0
flux,DHORD5,0.0
flux,GLYCTO2,0.0
flux,GLYCTO3,0.0
flux,GLYCTO4,0.0
flux,PFK_3,0.028373640903445702
flux,TRPS2,0.0
flux,G3PD5,0.0
flux,EX_acgam_e,0.0
flux,EX_cellb_e,0.0
flux,EX_chol_e,0.0
flux,LEUTAi,0.09075242307764145
flux,SHK3Dr,0.07677046136871013
flux,G5SD,0.044528072171344545
flux,ALATA_L2,0.0
flux,MAN6PI,0.0
flux,APRAUR,8.983972399819478e-05
flux,DB4PS,0.00017967944799638955
flux,RBFK,4.491986199910028e-05
flux,ACP1_FMN,0.0
flux,RBFSb,8.983972399819478e-05
flux,EX_pi_e,-0.1943047910471023
flux,EX_h_e,18.81962440292193
flux,DMATT,5.599875172981286e-05
flux,GRTT,5.599875172981286e-05
flux,UPP3S,8.983972399818899e-05
flux,UPPDC1,4.4919861999094494e-05
flux,TMDPP,0.0
flux,EX_ade_e,0.0
flux,EX_4abut_e,0.0
flux,EX_ac_e,16.968765142506612
flux,EX_akg_e,0.0
flux,EX_ala__L_e,0.0
flux,EX_arg__L_e,0.0
flux,EX_asp__L_e,0.0
flux,EX_cytd_e,0.0
flux,EX_dcyt_e,0.0
flux,EX_fum_e,0.0
flux,EX_glu__L_e,0.0
flux,EX_gua_e,0.0
flux,HCO3E,0.10587873337851761
flux,IMPC,-0.1092845855160931
flux,IMPD,0.04899447620769398
flux,ECOAH4,0.07168645958847719
flux,GLUTRS,0.0007187177919855119
flux,TMPPP,4.4919861999094494e-05
flux,URIK1,0.0
flux,URIK2,0.0
flux,CYTDK1,0.0
flux,CYTDK2,0.0
flux,XPPT,0.0
flux,HXPRT,0.0
flux,NDPK5,0.0
flux,DHORTS,-0.06663347869948666
flux,OMPDC,0.0666334786995088
flux,CS,0.21658061104273718
flux,ICDHyr,0.21658061104278659
flux,ACALD,0.0
flux,ACS,0.0
flux,PPA,0.7000643660630836
flux,PPCK,0.0
flux,ME1,0.0
flux,ALAR,0.008396186941013184
flux,ALATA_L,-0.11720337302688222
flux,XYLK,0.0
flux,RBK,0.0
flux,GLYK,0.0
flux,PPM,-0.5247780130221145
flux,ASPTA,-0.5897641485101985
flux,FBP,0.0
flux,GLGC,0.0
flux,PYK,0.0
flux,A5PISO,0.007838213767286106
flux,EX_met__L_e,0.0
flux,EX_metsox_S__L_e,0.0
flux,IPPMIb,-0.0907524230776744
flux,ACHBS,0.05852252281047051
