Model,Organism,Run ID,Status,Unique Reactions,Unique Genes,Unique Metabolites,Unique Proteins (CPI-Pred),Unique Substrates (CPI-Pred),Rxn-Gene Pairs (CPI-Pred),CPI-Pred Coverage (%),COBRA Biomass,Initial EC Biomass,Initial Biomass,Final Biomass,Biomass Improvement (%),Median Initial kcat (1/hr),Median Tuned kcat (1/hr),Median Fold Change,N kcat Increased,N kcat Decreased,SA Iterations,Time Data Prep (s),Time Optimization (s),Time SA (s),Time Total Pipeline (s),Time Total Pipeline (hr),SLURM Job ID,SLURM Node,SLURM CPUs,SLURM Mem Requested (GB),SLURM Mem Used (MB),SLURM Walltime (s),Enzyme Upper Bound,Biomass Reaction
STM_v1_0,Salmonella,STM_v1_0_20260310_5811,Complete,3469,1271,1802,1271,0,10047,289.62,0.477834,0.010877,0.010877,0.4737,4255.0611,22764.63,63178.15,1.0,2897.0,0.0,112,29.6,2.5,1123.1,1157.1,0.321,26948089,fc30115,4,32,,,0.25,BIOMASS_iRR1083_metals
e_coli_core,E coli,e_coli_core_20260310_6019,Complete,155,137,72,137,0,541,349.03,0.873922,0.013277,0.013277,0.856221,6348.9041,31322.0,157895.38,1.0,183.0,0.0,108,0.8,0.1,10.4,13.2,0.004,26948095,fc30136,4,32,,,0.25,BIOMASS_Ecoli_core_w_GAM
iAB_RBC_283,Human,iAB_RBC_283_20260310_6369,Complete,698,346,342,346,0,2385,341.69,2.935561,2.935561,2.935561,2.935561,0.0,12417.27,13281.42,1.0,3.0,0.0,51,3.8,0.1,6.9,12.1,0.003,26948098,fc30159,4,32,,,0.25,NaKt
iAF1260,E coli,iAF1260_20260310_8031,Complete,3234,1261,1668,1261,0,9560,295.61,0.736701,0.009847,0.009847,0.674714,6751.9752,20940.73,57844.52,1.0,2825.0,0.0,124,28.1,2.3,785.8,818.5,0.227,26948103,fc30206,4,32,,,0.25,BIOMASS_Ec_iAF1260_core_59p81M
iAF1260b,E coli,iAF1260b_20260310_6316,Complete,3243,1261,1668,1261,0,9578,295.34,0.736701,0.009847,0.009847,0.674758,6752.4221,20985.51,57792.01,1.0,2817.0,0.0,121,31.5,2.2,803.3,839.6,0.233,26948106,fc30214,4,32,,,0.25,BIOMASS_Ec_iAF1260_core_59p81M
iAM_Pb448,P berghei,iAM_Pb448_20260310_3239,Complete,1556,448,903,448,0,4365,280.53,0.658699,0.160284,0.160284,0.569025,255.0105,7119.0,60395.6,1.0,975.0,1.0,110,9.6,0.6,159.8,175.8,0.049,26948115,fc30229,4,32,,,0.25,BIOMASS__4
iAM_Pc455,P cynomolgi,iAM_Pc455_20260310_3155,Complete,1565,455,907,455,0,4447,284.15,0.658701,0.178602,0.178602,0.551415,208.7395,7954.6,31878.46,1.0,991.0,0.0,89,13.0,0.7,121.2,137.0,0.038,26948118,fc30239,4,32,,,0.25,BIOMASS__4
iAM_Pf480,P falciparum,iAM_Pf480_20260310_5394,Complete,1578,480,909,480,0,4831,306.15,0.687175,0.187669,0.187669,0.581242,209.7166,7319.76,42824.26,1.0,927.0,0.0,114,9.9,0.6,166.8,181.1,0.05,26948120,fc30241,4,32,,,0.25,BIOMASS__4
iAM_Pk459,P knowlesi,iAM_Pk459_20260310_1271,Complete,1573,459,909,459,0,4407,280.17,0.687175,0.211826,0.211826,0.593205,180.0435,7494.2,45752.79,1.0,857.0,0.0,92,9.6,0.8,136.0,158.0,0.044,26948121,fc30249,4,32,,,0.25,BIOMASS__4
iAM_Pv461,P vivax,iAM_Pv461_20260310_8780,Complete,1572,461,909,461,0,4490,285.62,0.687175,0.234371,0.234371,0.604033,157.7251,7678.02,36021.52,1.0,853.0,0.0,99,9.4,0.6,129.3,142.1,0.039,26948124,fc30266,4,32,,,0.25,BIOMASS__4
iAPECO1_1312,E coli,iAPECO1_1312_20260310_3876,Complete,3764,1313,1942,1313,0,11161,296.52,0.982478,0.073385,0.073385,0.930671,1168.2033,21714.73,63252.17,1.0,3272.0,0.0,133,37.2,3.2,1133.3,1175.8,0.327,26948125,fc30272,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iB21_1397,E coli,iB21_1397_20260310_1556,Complete,3770,1337,1943,1337,0,11258,298.62,0.975615,0.078752,0.078752,0.91153,1057.469,20739.41,47648.52,1.0,2749.0,0.0,122,37.7,2.8,919.9,962.5,0.267,26948132,fc30325,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iBWG_1329,E coli,iBWG_1329_20260310_2633,Complete,3775,1329,1949,1329,0,11275,298.68,0.982478,0.072862,0.072862,0.907995,1146.1846,20668.23,58406.36,1.0,3297.0,0.0,98,98.1,19.5,1017.2,1144.2,0.318,26948136,fc30329,4,32,,,0.25,BIOMASS_Ec_iJO1366_core_53p95M
iCHOv1,Chinese Hamster Ovary,iCHOv1_20260310_6247,Complete,9879,1766,4456,1766,0,32817,332.19,0.032369,0.022705,0.022705,0.032369,42.5633,8113.4,16472.13,1.0,4714.0,44.0,85,157.0,9.7,2061.9,2232.3,0.62,26948141,fc30339,4,32,,,0.25,BIOMASS_cho
iCN718,Acinetobacter,iCN718_20260310_2955,Complete,1447,709,888,709,0,6177,426.88,1.313591,0.28407,0.28407,0.678995,139.0238,20464.09,36620.63,1.0,1379.0,0.0,118,9.6,1.1,210.0,223.4,0.062,26948149,fc20569,4,32,,,0.25,BIOMASS__3
iCN900,Clostridioides,iCN900_20260310_9741,Failed: post-SA,1616,900,885,900,0,5141,318.13,0.0,0.0,0.0,0.0,0.0,,,,,,1,11.4,0.9,0.9,13.4,0.004,26948153,fc20613,4,32,,,0.25,BIOMASS__5
