Model,Organism,Status,N Runs,Unique Reactions,Unique Genes,Unique Proteins (CPI-Pred),Unique Substrates (CPI-Pred),Rxn-Gene Pairs (CPI-Pred),Median Initial kcat (1/hr),Median Tuned kcat (1/hr),Median Fold Change,Initial Biomass,Final Biomass,Biomass Improvement (%),SA Iterations
STM_v1_0,Salmonella,Complete,1,3469,1271,1271,0,10047,22764.63,63178.15,1.0,0.010877,0.4737,4255.0611,112
e_coli_core,E coli,Complete,1,155,137,137,0,541,31322.0,157895.38,1.0,0.013277,0.856221,6348.9041,108
iAB_RBC_283,Human,Complete,1,698,346,346,0,2385,12417.27,13281.42,1.0,2.935561,2.935561,0.0,51
iAF1260,E coli,Complete,1,3234,1261,1261,0,9560,20940.73,57844.52,1.0,0.009847,0.674714,6751.9752,124
iAF1260b,E coli,Complete,1,3243,1261,1261,0,9578,20985.51,57792.01,1.0,0.009847,0.674758,6752.4221,121
iAM_Pb448,P berghei,Complete,1,1556,448,448,0,4365,7119.0,60395.6,1.0,0.160284,0.569025,255.0105,110
iAM_Pc455,P cynomolgi,Complete,1,1565,455,455,0,4447,7954.6,31878.46,1.0,0.178602,0.551415,208.7395,89
iAM_Pf480,P falciparum,Complete,1,1578,480,480,0,4831,7319.76,42824.26,1.0,0.187669,0.581242,209.7166,114
iAM_Pk459,P knowlesi,Complete,1,1573,459,459,0,4407,7494.2,45752.79,1.0,0.211826,0.593205,180.0435,92
iAM_Pv461,P vivax,Complete,1,1572,461,461,0,4490,7678.02,36021.52,1.0,0.234371,0.604033,157.7251,99
iAPECO1_1312,E coli,Complete,1,3764,1313,1313,0,11161,21714.73,63252.17,1.0,0.073385,0.930671,1168.2033,133
iB21_1397,E coli,Complete,1,3770,1337,1337,0,11258,20739.41,47648.52,1.0,0.078752,0.91153,1057.469,122
iBWG_1329,E coli,Complete,1,3775,1329,1329,0,11275,20668.23,58406.36,1.0,0.072862,0.907995,1146.1846,98
iCHOv1,Chinese Hamster Ovary,Complete,1,9879,1766,1766,0,32817,8113.4,16472.13,1.0,0.022705,0.032369,42.5633,85
iCN718,Acinetobacter,Complete,1,1447,709,709,0,6177,20464.09,36620.63,1.0,0.28407,0.678995,139.0238,118
iCN900,Clostridioides,Failed: post-SA,1,1616,900,900,0,5141,,,,0.0,0.0,0.0,1
iE2348C_1286,E coli,Complete,1,3731,1287,1287,0,11046,21607.19,67213.69,1.0,0.076127,0.917939,1105.7995,145
iEC042_1314,E coli,Complete,1,3740,1314,1314,0,11161,20229.44,67417.32,1.0,0.069809,0.9145,1210.003,117
iEC1344_C,E coli,Complete,1,3691,1344,1344,0,11383,,,,0.982396,0.982396,0.0,51
iEC1349_Crooks,E coli,Complete,1,3718,1349,1349,0,11527,20408.98,57405.47,1.0,0.070284,0.913027,1199.0538,124
iEC1356_Bl21DE3,E coli,Complete,1,3698,1356,1356,0,11428,20739.41,47292.76,1.0,0.080583,0.874968,985.7973,158
iEC1364_W,E coli,Complete,1,3721,1364,1364,0,11520,21190.27,57844.52,1.0,0.073837,0.876922,1087.6458,121
iEC1372_W3110,E coli,Complete,1,3722,1372,1372,0,11533,20739.94,55092.95,1.0,0.070744,0.908321,1183.9548,126
iEC55989_1330,E coli,Complete,1,3792,1330,1330,0,11308,20680.49,60353.11,1.0,0.073643,0.906416,1130.8244,106
iECABU_c1320,E coli,Complete,1,3762,1320,1320,0,11173,21147.71,63622.08,1.0,0.07517,0.911769,1112.9427,108
iECBD_1354,E coli,Complete,1,3777,1354,1354,0,11306,20902.57,47292.76,1.0,0.079143,0.917774,1059.6401,110
iECB_1328,E coli,Complete,1,3777,1329,1329,0,11227,20325.61,61566.62,1.0,0.072774,0.912143,1153.3913,142
iECDH10B_1368,E coli,Complete,1,3772,1327,1327,0,11265,20551.15,61059.12,1.0,0.073752,0.948203,1185.6641,126
iECDH1ME8569_1439,E coli,Complete,1,3790,1439,1439,0,11401,20551.15,55092.95,1.0,0.07288,0.912506,1152.0664,130
iECD_1391,E coli,Complete,1,3770,1333,1333,0,11246,20280.8,60736.73,1.0,0.071343,0.90801,1172.7387,97
iECED1_1282,E coli,Complete,1,3732,1279,1279,0,10398,20887.42,51392.62,1.0,0.080846,0.914719,1031.4338,105
iECH74115_1262,E coli,Complete,1,3718,1262,1262,0,10333,20461.28,52987.1,1.0,0.079175,0.910513,1050.0006,124
iECIAI1_1343,E coli,Complete,1,3795,1343,1343,0,11258,20922.21,62229.75,1.0,0.054789,5.73957,10375.7707,226
iECIAI39_1322,E coli,Complete,1,3751,1321,1321,0,11123,20490.98,61742.03,1.0,0.07299,0.914405,1152.7812,128
iECNA114_1301,E coli,Complete,1,3747,1301,1301,0,11124,21461.52,63067.51,1.0,0.075562,0.918005,1114.903,108
iECO103_1326,E coli,Complete,1,3794,1327,1327,0,11232,27873.3,203218.48,5.4197,0.982478,0.982478,0.0,51
iECO111_1330,E coli,Complete,1,3793,1328,1328,0,11223,20305.39,50085.13,1.0,0.073717,0.868782,1078.5368,116
iECO26_1355,E coli,Complete,1,3814,1355,1355,0,11398,20312.97,47292.76,1.0,0.073628,0.91202,1138.6864,134
iECOK1_1307,E coli,Complete,1,3758,1304,1304,0,11115,21063.81,66215.72,1.0,0.074627,0.919939,1132.716,122
iECP_1309,E coli,Complete,1,3769,1309,1309,0,11175,21534.23,65184.42,1.0,0.074633,0.91165,1121.5106,114
iECS88_1305,E coli,Complete,1,3756,1305,1305,0,11127,21048.67,63714.09,1.0,0.074547,0.911725,1123.0204,118
iECSE_1348,E coli,Complete,1,3804,1348,1348,0,11368,21015.53,63134.13,1.0,0.073291,0.907289,1137.9269,146
iECSF_1327,E coli,Complete,1,3773,1327,1327,0,11204,21346.77,60176.89,1.0,0.075896,0.911351,1100.7892,107
iECSP_1301,E coli,Complete,1,3736,1299,1299,0,11104,21107.23,67024.32,1.0,0.074477,0.909288,1120.8977,112
iECUMN_1333,E coli,Complete,1,3771,1332,1332,0,11229,21149.0,61740.27,1.0,0.073857,0.911355,1133.9453,113
iECW_1372,E coli,Complete,1,3815,1372,1372,0,11329,20786.13,51880.39,1.0,0.073842,0.911445,1134.3179,105
iECs_1301,E coli,Complete,1,3744,1301,1301,0,11129,21027.62,67456.43,1.0,0.074902,0.904602,1107.7141,116
iEK1008,M tuberculosis,Complete,1,1605,1008,1008,0,13321,11122.13,11645.01,1.0,0.032285,0.058174,80.1889,86
iEKO11_1354,E coli,Complete,1,3813,1354,1354,0,11394,21636.08,58406.36,1.0,0.074003,0.912732,1133.3716,132
iETEC_1333,E coli,Complete,1,3791,1333,1333,0,11333,20427.69,58517.82,1.0,0.07317,0.90313,1134.29,102
iEcDH1_1363,E coli,Complete,1,3781,1363,1363,0,11371,20737.87,56325.83,1.0,0.072767,0.909501,1149.8811,108
iEcE24377_1341,E coli,Complete,1,3796,1341,1341,0,11279,20735.2,60276.76,1.0,0.073929,0.912465,1134.245,132
iEcHS_1320,E coli,Complete,1,3784,1321,1321,0,11208,20280.8,62270.28,1.0,0.070134,0.91976,1211.4324,114
iEcSMS35_1347,E coli,Complete,1,3775,1347,1347,0,11300,21069.83,63387.79,1.0,0.074138,0.917213,1137.1699,98
iEcolC_1368,E coli,Complete,1,3799,1368,1368,0,11403,20458.75,57330.75,1.0,0.071736,0.919636,1181.9728,132
iG2583_1286,E coli,Complete,1,3730,1283,1283,0,11044,21148.42,71776.28,1.0,0.075037,0.907967,1110.0257,153
iHN637,Clostridium,Complete,1,1077,637,637,0,3136,19788.89,23141.97,1.0,0.171563,0.224455,30.8295,83
iIS312,T cruzi,Complete,1,826,312,312,0,2229,10515.26,13518.49,1.0,0.267967,16.823691,6178.2697,210
iIS312_Amastigote,T cruzi,Complete,1,803,312,312,0,2173,10369.65,12480.07,1.0,0.079077,6.468717,8080.2762,226
iIS312_Epimastigote,T cruzi,Complete,1,824,312,312,0,2226,10479.65,13549.63,1.0,0.267967,16.820083,6176.9233,226
iIS312_Trypomastigote,T cruzi,Complete,1,810,312,312,0,2212,10220.13,10839.62,1.0,0.248677,22.516589,8954.5523,226
iIT341,H pylori,Complete,1,796,339,339,0,1878,16839.62,21846.0,1.0,0.19415,0.610604,214.5012,167
iJB785,Synechococcus,Complete,1,1088,785,785,0,3707,21051.89,21051.89,1.0,0.053902,0.053902,0.0,1
iJN1463,Pseudomonas,Complete,1,4038,1462,1462,0,11774,17599.71,20578.65,1.0,0.157549,0.585755,271.7923,144
iJN678,Synechocystis,Complete,1,1122,622,622,0,4053,15423.96,15779.97,1.0,0.062494,0.06315,1.0497,4
iJO1366,E coli,Complete,1,3518,1367,1367,0,10926,20668.23,54167.04,1.0,0.070629,0.907848,1185.3757,106
iJR904,E coli,Complete,1,1467,904,904,0,4458,21249.33,25264.26,1.0,0.117408,0.498356,324.4651,115
