Variable,Index,Value
flux,PFK,7.4773819621606
flux,PFL,0.0
flux,PGI,4.86086114649686
flux,PGK,-16.0235261431686
flux,PGL,4.95998494457506
flux,ACALD,0.0
flux,AKGt2r,0.0
flux,PGM,-14.7161395687439
flux,PIt2r,3.21489504768431
flux,ALCD2x,0.0
flux,ACALDt,0.0
flux,ACKr,0.0
flux,PPC,2.50430947036865
flux,ACONTa,6.00724957535022
flux,ACONTb,6.00724957535044
flux,ATPM,8.39
flux,PPCK,0.0
flux,ACt2r,0.0
flux,PPS,0.0
flux,ADK1,0.0
flux,AKGDH,5.06437566148209
flux,ATPS4r,45.5140097745186
flux,PTAr,0.0
flux,PYK,1.75817744410755
flux,BIOMASS_Ecoli_core_w_GAM,0.873921506968478
flux,PYRt2,0.0
flux,CO2t,-22.8098333102057
flux,RPE,2.67848185050798
flux,CS,6.00724957535028
flux,RPI,-2.28150309406692
flux,SUCCt2_2,0.0
flux,CYTBD,43.5989853119984
flux,D_LACt2,0.0
flux,ENO,14.7161395687436
flux,SUCCt3,0.0
flux,ETOHt2r,0.0
flux,SUCDi,5.06437566148208
flux,SUCOAS,-5.06437566148225
flux,TALA,1.49698375726166
flux,THD2,0.0
flux,TKT1,1.49698375726166
flux,TKT2,1.18149809324598
flux,TPI,7.47738196216051
flux,EX_ac_e,0.0
flux,EX_acald_e,0.0
flux,EX_akg_e,0.0
flux,EX_co2_e,22.8098333102057
flux,EX_etoh_e,0.0
flux,EX_for_e,0.0
flux,EX_fru_e,0.0
flux,EX_fum_e,0.0
flux,EX_glc__D_e,-10.0
flux,EX_gln__L_e,0.0
flux,EX_glu__L_e,0.0
flux,EX_h_e,17.5308654297871
flux,EX_h2o_e,29.1758271355658
flux,EX_lac__D_e,0.0
flux,EX_mal__L_e,0.0
flux,EX_nh4_e,-4.76531919319757
flux,EX_o2_e,-21.7994926559992
flux,EX_pi_e,-3.21489504768431
flux,EX_pyr_e,0.0
flux,EX_succ_e,0.0
flux,FBA,7.47738196216039
flux,FBP,0.0
flux,FORt2,0.0
flux,FORt,0.0
flux,FRD7,0.0
flux,FRUpts2,0.0
flux,FUM,5.06437566148202
flux,FUMt2_2,0.0
flux,G6PDH2r,4.95998494457501
flux,GAPD,16.0235261431687
flux,GLCpts,10.0
flux,GLNS,0.223461729331838
flux,GLNabc,0.0
flux,GLUDy,-4.54185746386577
flux,GLUN,0.0
flux,GLUSy,0.0
flux,GLUt2r,0.0
flux,GND,4.95998494457506
flux,H2Ot,-29.1758271355658
flux,ICDHyr,6.00724957535033
flux,ICL,0.0
flux,LDH_D,0.0
flux,MALS,0.0
flux,MALt2_2,0.0
flux,MDH,5.06437566148236
flux,ME1,0.0
flux,ME2,0.0
flux,NADH16,38.5346096505164
flux,NADTRHD,0.0
flux,NH4t,4.76531919319757
flux,O2t,21.7994926559992
flux,PDH,9.28253259916685
enzyme,b1241,0.0
enzyme,b0351,0.0
enzyme,s0001,0.0
enzyme,b1849,0.0
enzyme,b3115,0.0
enzyme,b2296,0.0
enzyme,b1276,0.000239378411946462
