Reaction,Level 1: Baseline GEM_FVi,Level 1: Baseline GEM_FVR,Level 2: Single Enzyme_FVi,Level 2: Single Enzyme_FVR,Level 3a: + Isoenzymes_FVi,Level 3a: + Isoenzymes_FVR,Level 3b: + Complexes_FVi,Level 3b: + Complexes_FVR,Level 3c: + Promiscuous_FVi,Level 3c: + Promiscuous_FVR,Level 4: All Constraints_FVi,Level 4: All Constraints_FVR,Level 5: Post-Tuned_FVi,Level 5: Post-Tuned_FVR
THRabcpp,0.9999999999946385,18.651199999999317,0.0,0.0,0.8510630907507828,5.71425239748122e-10,0.0,0.0,0.9999994216124197,0.0001728943455481,0.9999999999994266,174.35785015919367,0.999999513513433,0.0002055554215535
3SLAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URACPAH,0.999999999915287,1.1804556962025676,0.0,0.0,0.0,0.0,0.0,0.0,0.9999986640827299,7.48548346784004e-05,0.9999999999910859,11.218233658542571,0.9999989251083753,9.30325348167115e-05
CYSS,0.9604239884266342,9.48080710795804,-8.693011259960842e-10,3.7734801394684325e-10,7.313340963565792e-10,3.174590035293079e-10,-8.693011259960842e-10,3.7734801394684325e-10,0.005801169313087342,0.00013672888705250005,0.9997257140729647,70.61416512592484,0.0019429899549646982,0.000166692896034
NTPP8,0.9999999999914214,11.656999999998227,0.0,0.0,0.7812490035822413,3.57140774842577e-10,0.0,0.0,0.9999993512081671,0.0001541325430645,0.9999999999990823,108.9736563494967,0.9999994944358493,0.0001977987349619
ThDPAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_23camp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCITD,0.9999999999906932,10.744914722349735,0.0,0.0,0.8200932774861315,4.55843598297397e-10,0.0,0.0,0.9999992432582692,0.0001321453809958,0.9999999999988203,84.767876576904,0.999999324403306,0.000148017202183
LPLIPAL2E140,0.999999999956035,2.2745365853655715,0.0,0.0,0.0,0.0,0.0,0.0,0.9999950603027914,2.0244055821285e-05,0.999999999995285,21.20849739030909,0.9999971567576207,3.51710133488116e-05
OGMEACPR,0.052613614926603984,1.753418050030857e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTPP3,0.9999999999914214,11.656999999997469,0.0,0.0,0.7812490671022705,3.57140907585304e-10,0.0,0.0,0.999999346320033,0.0001529799591286,0.9999999999990823,108.97365634949642,0.9999994920064252,0.0001968527835159
SERtex,-1.0000000000461096,2.168744186046148,0.0,0.0,0.0,0.0,0.0,0.0,-1.000000317936154,0.0003145286577195,0.0,0.0,-1.0000002676834123,0.0003735757320562
G1Ptex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MECDPS,0.05263157762451414,0.00020951463452390006,-7.625672402954689e-09,3.195379984916036e-11,5.961230153025387e-09,2.4979299878546968e-11,-7.625672402954689e-09,3.195379984916036e-11,0.11682920343604873,2.9949455634300005e-05,-4.3983989044297153e-10,8.269879464388452e-14,0.047253049247852195,4.099460837899999e-05
LPLIPAL2ATE160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
