Reaction,Level 1: Baseline GEM_FVi,Level 4: All Constraints_FVi,FVi_Change,FVi_Ratio
ADK3,20000000000000.0,0.0,-20000000000000.0,0.0
SUCCt1pp,20000000000000.0,0.0,-20000000000000.0,0.0
ASPtpp,20000000000000.0,0.0,-20000000000000.0,0.0
ADK1,20000000000000.0,0.0,-20000000000000.0,0.0
FUMt1pp,20000000000000.0,0.0,-20000000000000.0,0.0
NDPK1,20000000000000.0,0.0,-20000000000000.0,0.0
SUCFUMtpp,20000000000000.0,0.0,-20000000000000.0,0.0
SUCASPtpp,20000000000000.0,0.0,-20000000000000.0,0.0
G3PD2,103.14467523250877,0.0,-103.14467523250877,0.0
ACKr,36.098691636266935,0.03743598172605475,-36.06125565454088,0.001037045389432912
ACACT2r,20.557972013404605,0.0,-20.557972013404605,0.0
HACD2,20.557972013401024,0.0,-20.557972013401024,0.0
ECOAH2,20.557972013392884,0.0,-20.557972013392884,0.0
HACD1,20.557972013389048,0.0,-20.557972013389048,0.0
ACACT1r,20.557972013385722,0.0,-20.557972013385722,0.0
ECOAH1,20.557972013383544,0.0,-20.557972013383544,0.0
PUNP2,9.925646868663272,0.0,-9.925646868663272,0.0
XYLI2,7.2170666665721095,0.0,-7.2170666665721095,0.0
FBA,6.17709960094847,0.0,-6.17709960094847,0.0
ARBt2rpp,4.9999999999688685,0.0,-4.9999999999688685,0.0
