Reaction,Level 1: Baseline GEM_FVi,Level 4: All Constraints_FVi,FVi_Change,FVi_Ratio
VPAMTr,-15962.074045137297,-1.5029467765599025,15960.571098360737,9.415736152519423e-05
ALATA_L,-2520.277323644606,0.0,2520.277323644606,-0.0
VALTA,-2520.277323644606,-0.44655302840144734,2519.8307706162045,0.00017718408375618714
F6PA,-46.81677888410753,0.0,46.81677888410753,-0.0
CTECOAI7,-37.80286429782573,0.0,37.80286429782573,-0.0
PTAr,-36.09869164176854,0.0,36.09869164176854,-0.0
PGI,-27.89620603433379,0.0040082278617200135,27.90021426219551,-0.00014368361980124388
NDPK5,-24.161242707195704,0.0,24.161242707195704,-0.0
NDPK8,-24.14658359088941,0.0,24.14658359088941,-0.0
DADK,-23.704044598424183,0.0,23.704044598424183,-0.0
DGK1,-23.704044598380356,0.0,23.704044598380356,-0.0
PUNP3,-23.704044598421063,-1.9132418827325377,21.790802715688525,0.08071373114392684
ACOAD2f,-20.557972054740148,0.0,20.557972054740148,-0.0
NDPK3,-4.919275625230827,0.0,4.919275625230827,-0.0
CTECOAI6,-4.124123473562618,0.0,4.124123473562618,-0.0
ECOAH3,-3.3117118588107597,0.0014319060823677664,3.3131437648931277,-0.0004323764093791673
ACACT3r,-3.3117118588105896,0.0,3.3117118588105896,-0.0
HACD3,-3.3117118588103702,0.0,3.3117118588103702,-0.0
PYNP2r,-3.007099395660153,0.0,3.007099395660153,-0.0
PUNP5,-3.0000000000261764,0.0,3.0000000000261764,-0.0
