Variable,Index,Value
flux,DHNPA2r,0.00034650279022646
flux_fwd,DHNPA2r,0.00034650279022646
flux_rev,DHNPA2r,0.0
flux,UDPGPT,0.0
flux_fwd,UDPGPT,0.0
flux_rev,UDPGPT,0.0
flux,BUTt2rpp,0.0
flux_fwd,BUTt2rpp,0.0
flux_rev,BUTt2rpp,0.0
flux,ECOAH7,0.144016711241831
flux_fwd,ECOAH7,0.144016711241831
flux_rev,ECOAH7,0.0
flux,LALALGLUtex,0.0
flux_fwd,LALALGLUtex,0.0
flux_rev,LALALGLUtex,0.0
flux,ACACT1r,0.184324982006342
flux_fwd,ACACT1r,0.184324982006342
flux_rev,ACACT1r,0.0
flux,FUCtpp,0.0
flux_fwd,FUCtpp,0.0
flux_rev,FUCtpp,0.0
flux,GLYtpp,0.0
flux_fwd,GLYtpp,0.0
flux_rev,GLYtpp,0.0
flux,GSNtex,0.0
flux_fwd,GSNtex,0.0
flux_rev,GSNtex,0.0
flux,HACD1,0.184324982006342
flux_fwd,HACD1,0.184324982006342
flux_rev,HACD1,0.0
flux,3OAR80,0.0
flux_fwd,3OAR80,0.0
flux_rev,3OAR80,0.0
flux,DTMPK,0.0135524544205511
flux_fwd,DTMPK,0.0135524544205511
flux_rev,DTMPK,0.0
flux,DADNtex,0.0
flux_fwd,DADNtex,0.0
flux_rev,DADNtex,0.0
flux,METDtex,0.0
flux_fwd,METDtex,0.0
flux_rev,METDtex,0.0
flux,GLNtex,0.0
flux_fwd,GLNtex,0.0
flux_rev,GLNtex,0.0
flux,RMNtex,0.0
flux_fwd,RMNtex,0.0
flux_rev,RMNtex,0.0
flux,ACGAtex,0.0
flux_fwd,ACGAtex,0.0
flux_rev,ACGAtex,0.0
flux,MDH,0.0
flux_fwd,MDH,0.0
flux_rev,MDH,0.0
flux,IPPMIa,-0.233348652547019
flux_fwd,IPPMIa,0.0
flux_rev,IPPMIa,0.233348652547019
flux,PRAGSr,0.232045512008623
flux_fwd,PRAGSr,0.232045512008623
flux_rev,PRAGSr,0.0
flux,SELtex,0.0
flux_fwd,SELtex,0.0
flux_rev,SELtex,0.0
flux,ACOAD8f,0.0
flux_fwd,ACOAD8f,0.0
flux_rev,ACOAD8f,0.0
flux,RMPA,0.0
flux_fwd,RMPA,0.0
flux_rev,RMPA,0.0
flux,HACD6,0.14401671124186
flux_fwd,HACD6,0.14401671124186
flux_rev,HACD6,0.0
flux,DDPGALA,0.0
flux_fwd,DDPGALA,0.0
flux_rev,DDPGALA,0.0
flux,ETHSO3tex,0.0
flux_fwd,ETHSO3tex,0.0
flux_rev,ETHSO3tex,0.0
flux,HPPPNtex,0.0
flux_fwd,HPPPNtex,0.0
flux_rev,HPPPNtex,0.0
flux,CBIAT,0.0
flux_fwd,CBIAT,0.0
flux_rev,CBIAT,0.0
flux,TRPt2rpp,0.0
flux_fwd,TRPt2rpp,0.0
flux_rev,TRPt2rpp,0.0
flux,F6Ptex,0.0
flux_fwd,F6Ptex,0.0
flux_rev,F6Ptex,0.0
flux,3OAR100,0.0
flux_fwd,3OAR100,0.0
flux_rev,3OAR100,0.0
flux,FALDH2,0.0
flux_fwd,FALDH2,0.0
flux_rev,FALDH2,0.0
flux,G3PEtex,0.0
flux_fwd,G3PEtex,0.0
flux_rev,G3PEtex,0.0
flux,SUCOAS,0.271896440525598
flux_fwd,SUCOAS,0.271896440525598
flux_rev,SUCOAS,0.0
flux,FALDtex,0.0
flux_fwd,FALDtex,0.0
flux_rev,FALDtex,0.0
flux,LCARS,0.0
flux_fwd,LCARS,0.0
flux_rev,LCARS,0.0
flux,CU2tex,0.000367220445775843
flux_fwd,CU2tex,0.000367220445775843
flux_rev,CU2tex,0.0
flux,MSO3tex,0.0
flux_fwd,MSO3tex,0.0
flux_rev,MSO3tex,0.0
flux,FRULYStex,0.0
flux_fwd,FRULYStex,0.0
flux_rev,FRULYStex,0.0
flux,TRSARr,0.0
flux_fwd,TRSARr,0.0
flux_rev,TRSARr,0.0
flux,ARBtex,0.0
flux_fwd,ARBtex,0.0
flux_rev,ARBtex,0.0
flux,DAPE,0.192129840818199
flux_fwd,DAPE,0.192129840818199
flux_rev,DAPE,0.0
flux,CRNDt2rpp,0.0
flux_fwd,CRNDt2rpp,0.0
flux_rev,CRNDt2rpp,0.0
flux,G3PCtex,0.0
flux_fwd,G3PCtex,0.0
flux_rev,G3PCtex,0.0
flux,PACALDtex,0.0
flux_fwd,PACALDtex,0.0
flux_rev,PACALDtex,0.0
flux,PUNP5,0.0
flux_fwd,PUNP5,0.0
flux_rev,PUNP5,0.0
flux,TMAtex,0.0
flux_fwd,TMAtex,0.0
flux_rev,TMAtex,0.0
flux,SO2tex,0.0
flux_fwd,SO2tex,0.0
flux_rev,SO2tex,0.0
flux,FRUURt2rpp,0.0
flux_fwd,FRUURt2rpp,0.0
flux_rev,FRUURt2rpp,0.0
flux,ASPTA,-1.5164376077428
flux_fwd,ASPTA,0.0
flux_rev,ASPTA,1.5164376077428
flux,SUCASPtpp,0.0
flux_fwd,SUCASPtpp,0.0
flux_rev,SUCASPtpp,0.0
flux,H2O2tex,0.0
flux_fwd,H2O2tex,0.0
flux_rev,H2O2tex,0.0
flux,ANHGMtex,0.0
flux_fwd,ANHGMtex,0.0
flux_rev,ANHGMtex,0.0
flux,CO2tex,-33.2600879548719
flux_fwd,CO2tex,0.0
flux_rev,CO2tex,33.2600879548719
flux,MOBDtex,3.62558973262469e-06
flux_fwd,MOBDtex,3.62558973262469e-06
flux_rev,MOBDtex,0.0
flux,TTRCYCtex,0.0
flux_fwd,TTRCYCtex,0.0
flux_rev,TTRCYCtex,0.0
flux,GLCNt2rpp,0.0
flux_fwd,GLCNt2rpp,0.0
flux_rev,GLCNt2rpp,0.0
flux,MLTP1,0.0
flux_fwd,MLTP1,0.0
flux_rev,MLTP1,0.0
flux,INOSTO,0.0
flux_fwd,INOSTO,0.0
flux_rev,INOSTO,0.0
flux,TCYNTtex,0.0
flux_fwd,TCYNTtex,0.0
flux_rev,TCYNTtex,0.0
flux,YUMPS,0.0
flux_fwd,YUMPS,0.0
flux_rev,YUMPS,0.0
flux,DCMPtex,0.0
flux_fwd,DCMPtex,0.0
flux_rev,DCMPtex,0.0
flux,GLYALDtpp,0.0
flux_fwd,GLYALDtpp,0.0
flux_rev,GLYALDtpp,0.0
