Variable,Index,Value,Bounds
flux,ALATA_D2,0.0,"[0.0, 1000.0]"
flux,SHCHD2,0.000165901746594428,"[0.0, 1000.0]"
flux,CPPPGO,0.000165901746594428,"[0.0, 1000.0]"
flux,GTHOr,0.0,"[0, 1000.0]"
flux,DHORD5,0.0,"[0.0, 1000.0]"
flux,GLYCTO2,0.0,"[0.0, 1000.0]"
flux,GLYCTO3,0.0,"[0.0, 1000.0]"
flux,GLYCTO4,0.0,"[0.0, 1000.0]"
flux,PFK_3,9.35265262471205,"[0.0, 1000.0]"
flux,TRPS2,0.0,"[0.0, 1000.0]"
flux,G3PD5,0.0,"[0.0, 1000.0]"
flux,EX_acgam_e,0.0,"[0, 1000.0]"
flux,EX_cellb_e,0.0,"[0, 1000.0]"
flux,EX_chol_e,0.0,"[0, 1000.0]"
flux,LEUTAi,0.335174348856207,"[0.0, 1000.0]"
flux,SHK3Dr,0.283535012378124,"[0, 1000.0]"
flux,G5SD,0.164454756024355,"[0.0, 1000.0]"
flux,ALATA_L2,0.0,"[0.0, 1000.0]"
flux,MAN6PI,0.0,"[0, 1000.0]"
flux,APRAUR,0.000331803493188866,"[0.0, 1000.0]"
flux,DB4PS,0.000663606986377732,"[0.0, 1000.0]"
flux,RBFK,0.000165901746594438,"[0.0, 1000.0]"
flux,ACP1_FMN,0.0,"[0.0, 1000.0]"
flux,RBFSb,0.000331803493188866,"[0.0, 1000.0]"
flux,EX_pi_e,0.0,"[0, 1000.0]"
flux,EX_h_e,6.83574637895082,"[0, 1000.0]"
flux,DMATT,0.000206819217727582,"[0.0, 1000.0]"
flux,GRTT,0.000206819217727582,"[0.0, 1000.0]"
flux,UPP3S,0.000331803493188855,"[0.0, 1000.0]"
flux,UPPDC1,0.000165901746594428,"[0.0, 1000.0]"
flux,TMDPP,0.0,"[0, 1000.0]"
flux,EX_ade_e,0.0,"[0, 1000.0]"
flux,EX_4abut_e,0.0,"[0, 1000.0]"
flux,EX_ac_e,0.0,"[0, 1000.0]"
flux,EX_akg_e,0.0,"[0, 1000.0]"
flux,EX_ala__L_e,0.0,"[0, 1000.0]"
flux,EX_arg__L_e,0.0,"[0, 1000.0]"
flux,EX_asp__L_e,0.0,"[0, 1000.0]"
flux,EX_cytd_e,0.0,"[0, 1000.0]"
flux,EX_dcyt_e,0.0,"[0, 1000.0]"
flux,EX_fum_e,0.0,"[0, 1000.0]"
flux,EX_glu__L_e,0.0,"[0, 1000.0]"
flux,EX_gua_e,0.0,"[0, 1000.0]"
flux,HCO3E,0.391040088125113,"[0, 1000.0]"
flux,IMPC,0.0,"[0, 1000.0]"
flux,IMPD,0.180950448523181,"[0.0, 1000.0]"
flux,ECOAH4,0.26475835685213,"[0, 1000.0]"
flux,GLUTRS,0.00265442794551084,"[0.0, 1000.0]"
flux,TMPPP,0.000165901746594428,"[0.0, 1000.0]"
flux,URIK1,0.0,"[0.0, 1000.0]"
flux,URIK2,0.0,"[0.0, 1000.0]"
flux,CYTDK1,0.0,"[0.0, 1000.0]"
flux,CYTDK2,0.0,"[0.0, 1000.0]"
flux,XPPT,0.0,"[0.0, 1000.0]"
flux,HXPRT,0.0,"[0.0, 1000.0]"
flux,NDPK5,0.0,"[0, 1000.0]"
flux,DHORTS,0.0,"[0, 1000.0]"
flux,OMPDC,0.246096270245308,"[0.0, 1000.0]"
flux,CS,9.56344523771355,"[0.0, 1000.0]"
flux,ICDHyr,7.36117543498263,"[0, 1000.0]"
flux,ACALD,0.0,"[0, 1000.0]"
flux,ACS,0.0,"[0.0, 1000.0]"
flux,PPA,2.60500187224383,"[0.0, 1000.0]"
flux,PPCK,0.0,"[0.0, 1000.0]"
flux,ME1,0.0,"[0.0, 1000.0]"
flux,ALAR,0.0310094914867665,"[0, 1000.0]"
flux,ALATA_L,0.0,"[0, 1000.0]"
flux,XYLK,0.0,"[0.0, 1000.0]"
flux,RBK,0.0,"[0.0, 1000.0]"
flux,GLYK,0.0,"[0.0, 1000.0]"
flux,PPM,0.0,"[0, 1000.0]"
