Reactions,Single_gene,enzyme_mass,kcat_mean,kcat_std
GLUtex,b0929,0.020860280375399505,7.23217162895048,7.317783415688857
GLYtex,b0929,0.020860280375399505,2.8148397544711528,2.801048652562628
GLYALDtex,b0929,0.020860280375399505,0.966005296952886,0.8287372835161272
GLYBtex,b0929,0.020860280375399505,2.5502068008564485,1.442181421612986
GLYCtex,b0929,0.020860280375399505,3.0654096271826075,1.7188701695901494
GLYC3Ptex,b0929,0.020860280375399505,1.7890549914607186,1.829059390543567
GLYCLTtex,b0929,0.020860280375399505,5.500698157044159,4.196162858663488
GTPtex,b0929,0.020860280375399505,1.0052389835738584,0.6461919008767675
Htex,b0929,0.020860280375399505,5.531675181320361,3.3240011057304213
H2tex,b0929,0.020860280375399505,4.609435854889709,2.52394502536727
H2Otex,b0929,0.020860280375399505,,
DAPtex,b0929,0.020860280375399505,3.5015834641945185,3.389045118104318
12PPDStex,b0929,0.020860280375399505,4.125969396162022,3.1609322098371813
DDGLCNtex,b0929,0.020860280375399505,2.8036468376679684,1.3592762370420883
26DAHtex,b0929,0.020860280375399505,24.18919078909408,18.200513503329468
HCINNMtex,b0929,0.020860280375399505,1.597378472839057,1.144376010011334
HPPPNtex,b0929,0.020860280375399505,1.8284074410277125,1.3806261652090357
ACtex,b0929,0.020860280375399505,5.916626787163383,5.502099458782729
ACALDtex,b0929,0.020860280375399505,17.197126354638193,11.175072941736229
ACMANAtex,b0929,0.020860280375399505,4.579595880005335,3.9130112129494647
ACMUMtex,b0929,0.020860280375399505,6.206822721493712,4.4250732707896265
GALtex,b0929,0.020860280375399505,4.8426492283031335,3.6705616891811466
GALCTtex,b0929,0.020860280375399505,7.664132963697424,6.040345836627029
GALCTNtex,b0929,0.020860280375399505,2.943647920491581,2.62883506820186
GALTtex,b0929,0.020860280375399505,2.558279071049386,1.874845189689145
GALURtex,b0929,0.020860280375399505,11.705744236804753,12.861995853577788
GAMtex,b0929,0.020860280375399505,1.3576376001808148,0.9288720290852892
GBBTNtex,b0929,0.020860280375399505,2.8504722624746552,2.889463594315058
HIStex,b0929,0.020860280375399505,1.0831508990934062,0.6202773574752178
HXAtex,b0929,0.020860280375399505,2.568956785800826,2.653908322896354
HYXNtex,b0929,0.020860280375399505,2.4271388628925856,1.2434365570914776
IDONtex,b0929,0.020860280375399505,2.943647920491581,2.62883506820186
ILEtex,b0929,0.020860280375399505,9.140645254475604,12.30875679847228
INSTtex,b0929,0.020860280375399505,6.726944868159815,4.553104198542986
Ktex,b0929,0.020860280375399505,8.977047508081023,4.756110360656276
D_LACtex,b0929,0.020860280375399505,4.849448476885575,4.505488530176358
FRULYStex,b0929,0.020860280375399505,25.076155528868647,25.009757839213417
ASPtex,b0929,0.020860280375399505,3.771337153956958,2.9830645895650862
INDOLEtex,b0929,0.020860280375399505,0.5116230114214975,0.4096192355354342
L_LACtex,b0929,0.020860280375399505,4.849448476885575,4.505488530176358
GLCRtex,b0929,0.020860280375399505,,
GLCNtex,b0929,0.020860280375399505,2.943647920491581,2.62883506820186
GLCURtex,b0929,0.020860280375399505,11.705744236804753,12.861995853577788
GLNtex,b0929,0.020860280375399505,9.546852873127786,10.878943040538031
O2tex,b0929,0.020860280375399505,3.1999410397638,1.861363296733526
OCTAtex,b0929,0.020860280375399505,1.9049527634005337,2.106645414756431
ORNtex,b0929,0.020860280375399505,21.08585402079777,20.28017659509848
RMNtex,b0929,0.020860280375399505,13.098152817205138,10.121104233826363
PHEtex,b0929,0.020860280375399505,1.6413423541102583,0.901867699262032
PItex,b0929,0.020860280375399505,6.947204447844189,8.336031593550082
PNTOtex,b0929,0.020860280375399505,1.0224710016068774,0.771328317135948
PPPNtex,b0929,0.020860280375399505,2.8684101505429966,2.4446845570041127
PPTtex,b0929,0.020860280375399505,,
PTRCtex,b0929,0.020860280375399505,4.778460045585211,4.517364458138675
PYRtex,b0929,0.020860280375399505,11.131973368908692,11.524157864033604
DSERtex,b0929,0.020860280375399505,2.7466934525232616,2.7965413387907625
SERtex,b0929,0.020860280375399505,2.7466934525232616,2.7965413387907625
SO4tex,b0929,0.020860280375399505,5.395537599552384,4.630364106676218
SPMDtex,b0929,0.020860280375399505,9.210010322276238,8.526994671647802
SUCCtex,b0929,0.020860280375399505,6.84311317110205,6.223966330266868
SUCRtex,b0929,0.020860280375399505,28.02920665036613,18.659831623926507
TARTRtex,b0929,0.020860280375399505,3.872935429891288,3.65770063446418
TAURtex,b0929,0.020860280375399505,49.27378153972919,56.66302678324681
THRtex,b0929,0.020860280375399505,3.688483378252619,3.2309408845121625
THMDtex,b0929,0.020860280375399505,2.8528584108785,2.529290487386465
METDtex,b0929,0.020860280375399505,19.7117116109464,20.155625068737383
METtex,b0929,0.020860280375399505,19.7117116109464,20.155625068737383
MNLtex,b0929,0.020860280375399505,2.558279071049386,1.874845189689145
NAtex,b0929,0.020860280375399505,8.129944578240778,5.03419632773619
NACtex,b0929,0.020860280375399505,1.9107508245764888,1.2218179350228433
NH4tex,b0929,0.020860280375399505,7.038524370372056,4.555505251827849
BUTtex,b0929,0.020860280375399505,,
CHLtex,b0929,0.020860280375399505,1.6281834215424236,1.0122727335795385
CO2tex,b0929,0.020860280375399505,7.997284328563261,5.316014972866263
CRNtex,b0929,0.020860280375399505,6.346103563953809,4.211936938298546
DINStex,b0929,0.020860280375399505,3.902878979185343,2.567558931872051
DMStex,b0929,0.020860280375399505,4.559903116323912,2.708045188551941
CSNtex,b0929,0.020860280375399505,1.3030010069499325,0.4803423936135716
CYNTtex,b0929,0.020860280375399505,3.9750095289640406,3.343347346055812
CYStex,b0929,0.020860280375399505,4.199849015143157,4.166576909420814
CYTDtex,b0929,0.020860280375399505,2.4977855184939397,1.5770237079833411
DCAtex,b0929,0.020860280375399505,,
DGSNtex,b0929,0.020860280375399505,2.009011157994241,1.6717246184029109
LCTStex,b0929,0.020860280375399505,,
LEUtex,b0929,0.020860280375399505,6.948312357057871,8.556548428729217
LYStex,b0929,0.020860280375399505,10.818112490120292,11.425589888661948
LYXtex,b0929,0.020860280375399505,11.59711682886788,7.0689139301738
MANtex,b0929,0.020860280375399505,9.876904962257004,9.417323671491284
MAN6Ptex,b0929,0.020860280375399505,8.092511726517163,6.28672868341419
MELIBtex,b0929,0.020860280375399505,,
DMSOtex,b0929,0.020860280375399505,2.987643676508025,2.0678530151169845
FRUtex,b0929,0.020860280375399505,7.437178885769645,6.150846020934928
FUCtex,b0929,0.020860280375399505,,
FUMtex,b0929,0.020860280375399505,9.36101594725961,6.666304393798611
FE2tex,b0929,0.020860280375399505,7.194172048000034,5.060948499850652
NMNtex,b0929,0.020860280375399505,5.631279447275834,3.624864766936679
NO2tex,b0929,0.020860280375399505,7.850507780381915,5.420515587945756
GDPtex,b0929,0.020860280375399505,1.3332248795412809,0.9792344046689824
TMAtex,b0929,0.020860280375399505,9.480386261796264,5.415305507197556
TMAOtex,b0929,0.020860280375399505,7.15189126605294,5.383330696393018
TREtex,b0929,0.020860280375399505,8.03102883662981,6.056203633762627
TRPtex,b0929,0.020860280375399505,0.6757556741525882,0.6121131643499956
TSULtex,b0929,0.020860280375399505,12.041450403522834,10.003556212682954
TYRtex,b0929,0.020860280375399505,1.7633301223056996,0.7918226937298257
URAtex,b0929,0.020860280375399505,4.156518000876318,2.395843177163252
UREAtex,b0929,0.020860280375399505,5.467205753300805,4.299928431215266
VALtex,b0929,0.020860280375399505,4.928816192020354,5.798903900081475
XANtex,b0929,0.020860280375399505,4.339896462972226,3.1312723667530844
XYLtex,b0929,0.020860280375399505,11.59711682886788,7.0689139301738
ABUTtex,b0929,0.020860280375399505,6.092781309603457,7.999960537770294
23CAMPtex,b0929,0.020860280375399505,2.409209683250171,2.0015767165378886
23CCMPtex,b0929,0.020860280375399505,0.8608809084644673,0.4585492165564725
23CUMPtex,b0929,0.020860280375399505,2.206155664584356,2.6599666189610742
23CGMPtex,b0929,0.020860280375399505,0.7428652069316977,0.6175387098886476
3AMPtex,b0929,0.020860280375399505,16.921820421222343,16.841720386801878
3CMPtex,b0929,0.020860280375399505,6.3195350500157,4.558041472506842
ETHSO3tex,b0929,0.020860280375399505,11.648025490096236,9.86929779390465
BUTSO3tex,b0929,0.020860280375399505,5.911813070195996,4.235712174469307
LIPOtex,b0929,0.020860280375399505,5.068284025514359,3.972985062602322
GALBDtex,b0929,0.020860280375399505,4.8426492283031335,3.6705616891811466
SULFACtex,b0929,0.020860280375399505,14.278373082818572,14.420890331817954
NOtex,b0929,0.020860280375399505,,
N2Otex,b0929,0.020860280375399505,10.467749259000342,5.996957577387848
PEAMNtex,b0929,0.020860280375399505,2.565322037544714,2.2192683643588
PACALDtex,b0929,0.020860280375399505,8.69454775713122,6.251977369219315
CYANtex,b0929,0.020860280375399505,5.900627545094244,3.4724603776861023
SO3tex,b0929,0.020860280375399505,1.7512416028923066,1.273776818940649
TCYNTtex,b0929,0.020860280375399505,1.2950610943539005,0.96944557727665
METSOX1tex,b0929,0.020860280375399505,,
METSOX2tex,b0929,0.020860280375399505,6.428283913438503,5.083433215564336
3UMPtex,b0929,0.020860280375399505,8.602021975438342,7.929284497949169
3GMPtex,b0929,0.020860280375399505,5.011335384865603,4.089399070865161
DOPAtex,b0929,0.020860280375399505,2.1156746107421656,3.567046092595447
4HOXPACDtex,b0929,0.020860280375399505,10.064319295186476,7.101061340776165
ETHAtex,b0929,0.020860280375399505,2.609741803246997,2.5796239799788627
G3PStex,b0929,0.020860280375399505,3.29274105505114,3.1205638599875924
ACGAL1Ptex,b0929,0.020860280375399505,,
ACGALtex,b0929,0.020860280375399505,4.579595880005335,3.9130112129494647
GLCUR1Ptex,b0929,0.020860280375399505,,
UDPGLCURtex,b0929,0.020860280375399505,1.0919654032130162,0.905925654498802
ISETACtex,b0929,0.020860280375399505,22.74863667411692,16.459475439433177
UDPGtex,b0929,0.020860280375399505,1.092196069681148,0.8641589596448807
UDPGALtex,b0929,0.020860280375399505,1.092196069681148,0.8641589596448807
ACGAM1Ptex,b0929,0.020860280375399505,6.978599227880184,5.126307077312502
UACGAMtex,b0929,0.020860280375399505,1.2176724044543126,0.8570344281479894
UDPACGALtex,b0929,0.020860280375399505,1.2176724044543126,0.8570344281479894
MSO3tex,b0929,0.020860280375399505,9.30462862908539,8.005342204065123
GLYC2Ptex,b0929,0.020860280375399505,3.021176271152354,2.9765600922781617
PSERtex,b0929,0.020860280375399505,5.316818822942209,7.1567314485899285
R5Ptex,b0929,0.020860280375399505,7.207317819614983,5.670650238486436
THRPtex,b0929,0.020860280375399505,24.376516433913157,37.11138674938584
TYRPtex,b0929,0.020860280375399505,5.181021945665156,4.7426137041584
CITtex,b0929,0.020860280375399505,2.644851333249876,1.9642973909223844
ACGAtex,b0929,0.020860280375399505,4.579595880005335,3.9130112129494647
G6Ptex,b0929,0.020860280375399505,8.092511726517163,6.28672868341419
MOBDtex,b0929,0.020860280375399505,3.413960234454838,1.554929350572978
NI2tex,b0929,0.020860280375399505,,
H2O2tex,b0929,0.020860280375399505,4.525792338913551,2.9242512436929413
ADEtex,b0929,0.020860280375399505,2.5478360295689595,1.5546876545383057
