Reactions,Single_gene,enzyme_mass,kcat_mean,kcat_std
ATPS4r,b3732,0.22307466628609568,2.9762033425429952,2.543860630001406
AKGDH,b0726,0.1680406681819011,1.2270811807250266,0.948030566597012
ATPS4r,b3738,0.16371092987340266,2.290584402983502,1.6868714320261795
FBA,b2925,0.1553379155275871,0.5160721521981406,0.2492893522282189
ATPS4r,b3734,0.11497420158606726,18.020953816687275,9.027367075323143
NADH16,b2282,0.10872751936408809,3.2454129984862603,2.215413355749014
NADH16,b2283,0.09786392285487261,9.991727814856311,5.219952786566853
ATPS4r,b3733,0.09701350142656692,5.829307487239271,2.126469618680865
ATPS4r,b3736,0.07819898348808597,2.264355671419961,1.4618489747229946
PDH,b0114,0.07587425254467804,2.139792950877696,0.930213614674294
FBA,b2097,0.07564007437660411,0.7112911207771221,0.3506721704824396
PFK,b3916,0.07097854641476721,1.4021446497670245,0.7079459461237333
CYTBD,b0979,0.06778726402709465,11.229973802345471,7.457782064713435
NADH16,b2286,0.06657930129667945,9.827699394498648,4.617192941659887
NADH16,b2278,0.06482492462624469,20.76223190089477,9.701621850068964
ATPS4r,b3735,0.0629772814922027,2.481707076721864,1.7895273318292195
NADH16,b2277,0.05742705136211658,6.809454046421161,2.620055476897676
NADH16,b2276,0.055423850155640414,7.693572569377318,2.259259134128433
NADH16,b2281,0.048196266988590905,3.0861331166466783,2.068863496285136
NADH16,b2284,0.048095628901540836,8.1910207819002,6.425555998318578
NADH16,b2280,0.04125366000636061,4.045619910592032,1.4063864825094792
ATPS4r,b3731,0.041014975533881816,7.887269764353881,10.406382927142207
FRUpts2,b2416,0.03917680480425017,29.59976068373981,11.256700311491226
GLCpts,b2416,0.03917680480425017,13.333233659039456,7.154871487591521
ACONTa,b0118,0.03514553603818527,7.574430119991755,4.417516079941739
ACONTb,b0118,0.03514553603818527,11.158327001942018,6.2271181733314425
FRUpts2,b1817,0.03427842136458495,4.589716844804409,0.8328137831316267
GLCpts,b1817,0.03427842136458495,5.054705756784564,1.7684965919614346
PDH,b0115,0.03267990158182447,2.2091078272158367,0.7069997767835609
NADH16,b2287,0.03250732587444155,7.147038324545058,5.289797784925989
FBA,b1773,0.03044149795250556,0.907446122655234,0.5904952195592077
SUCDi,b0723,0.028795742083690724,4.7593774666460265,3.1558459915014905
MDH,b3236,0.02759584731261,1.0315668424504143,2.240144786833408
NADH16,b2285,0.027582641673475003,4.135286653121547,1.259187467530415
AKGDH,b0116,0.027224349353420274,28.59382154152041,15.66088191495923
PDH,b0116,0.027224349353420274,5.928516992651593,1.5479277312643545
GLCpts,b1101,0.026925650221275722,8.046443903966278,5.3498382067076
ATPS4r,b3737,0.02635584540471153,3.921142632766511,3.098899264729857
CYTBD,b0978,0.026227972428692074,39.81832074605451,38.22090485380104
ATPS4r,b3739,0.02621700959789152,2.4554492980700764,2.1544552776488723
PFK,b1723,0.025192957895079533,3.856830033877074,2.608913692154484
ACONTa,b1276,0.023381542114828294,12.836813070561012,6.855491474548118
ACONTb,b1276,0.023381542114828294,15.810909144919693,5.079121075228847
GAPD,b1779,0.022317067428204444,5.886184750840132,6.964355458282802
GLCpts,b1621,0.016302430781990625,13.0325430281929,6.590227855943358
NADH16,b2288,0.016057734310929835,8.186646171630983,2.310179043535584
FUM,b1612,0.013840637478704974,6.737502202176245,4.781436454722513
AKGDH,b0727,0.013828325199775116,10.548173122856928,8.586297530317353
CYTBD,b0733,0.013432793754732482,74.54663304754034,43.15155166040173
FUM,b4122,0.01260683745436378,7.447072649237794,5.347883935717145
FRUpts2,b1819,0.012169197232591834,14.32193000549195,18.329155813102677
GLCpts,b1819,0.012169197232591834,12.822159001596637,10.776647788288056
PIt2r,b2987,0.011487869288506421,4.4103678117705405,2.940332044987356
NADH16,b2279,0.01058169940049417,6.014231149761028,4.155536497165727
FRUpts2,b1818,0.010222679232602857,16.96353773039387,7.798598405333386
GLCpts,b1818,0.010222679232602857,15.882537150554484,2.6565700104366563
PIt2r,b3493,0.009172071156736497,5.56914960551695,3.5070831290332123
CYTBD,b0734,0.008733127584075,81.59804247776503,60.74208035051834
PGL,b0767,0.008612558945788445,3.80207738639907,1.4882672409540263
SUCDi,b0724,0.007799698852816144,7.793391111486997,8.596788265995475
ENO,b2779,0.007291214708259558,39.51012302793309,38.34386877832844
RPE,b4301,0.006057525935694106,2.851310515068906,1.228774694778002
GLCpts,b2417,0.0049033744150947,38.999859928700765,24.623418970172043
TALA,b2464,0.004083926536481733,3.133489053908603,2.724649643185916
NH4t,b0451,0.0040559862891851655,14.52751450115368,5.804486286501896
PYK,b1676,0.003666658506980686,7.057849804614884,4.989966447711711
PYK,b1854,0.0031204423423284514,12.309602825492153,7.533456417558905
TALA,b0008,0.00296802065776124,3.7946765746669713,3.0461444423085653
PGI,b4025,0.0027479241523026593,43.08484146032884,10.285521952603474
CS,b0720,0.002747303064289462,36.3956280858967,13.879364998276692
FUM,b1611,0.0020128655395925833,49.53426566739405,5.052806546593848
G6PDH2r,b1852,0.0019493735166549468,49.49225088079128,42.59717052465998
